num,category,title,population
0, 정치개혁," 연일보도중인 ""층간소음 살인미수사건""경찰대응문제로 인천 **경찰서를 고발…
"," 240,010
												"
1, 인권/성평등," 완주 고등학생 살인사건
"," 92,229
												"
2, 인권/성평등," 오피스텔에서 남자친구에게폭행당해 사망한 여자친구를 죽인 피의자 남자친구를 살인죄적용.신상공…
"," 53,460
												"
3, 인권/성평등," 동거 여친의 이별 요구에 격분에 살해후 19층 베란다 아래로 여성을 떨어트린 30대 남성 …
"," 41,681
												"
4, 기타," 백신접종 후 사망한 고3아들의 엄마입니다.
"," 41,671
												"
5, 반려동물," 동물병원 진료기록부 발급 의무화를 통해 보호자 및 반려동물의 권리를 보장해주세요.
"," 30,578
												"
6, 인권/성평등," 16세 줄넘기 국가대표 여학생을 성폭행한 26세 코치의 강력한 처벌과 신상공개를 요구합니다…
"," 29,008
												"
7, 안전/환경," 피해자를 버리고 도망간 경찰 파면요구
"," 27,355
												"
8, 보건복지," 간호사의 안전을 보장해주세요
"," 27,308
												"
9, 육아/교육," 성폭력 피해자가 가해자로 몰리게 되었습니다.
"," 24,923
												"
10, 미래," 마스크 써달라 요청했다가 편의점 알바생 뺨 때린 가해자 강력처벌을 원합니다.
"," 24,282
												"
11, 교통/건축/국토," 무면허 음주운전자가 아이들의 아빠를 죽였습니다.
"," 21,474
												"
12, 인권/성평등," 트위터에서 발생한 남탕 몰카 사건 강력한 처벌을 촉구합니다
"," 19,906
												"
13, 보건복지," 33살 건장한 제 동생이 모더나 2차 3일만에 사망했습니다.
"," 19,592
												"
14, 보건복지," 비합리적이고 강압적인 실내체육시설 등에 관한 백신패스 폐지를 간곡히 청원합니다
"," 18,369
												"
15, 보건복지," 화이자 백신 접종 후 ‘며칠 쉬다 갈게’ 하고는 별이 된 남편
"," 17,129
												"
16, 반려동물," 새끼 길고양이 얼굴에 토치로 불 질른 학대범 강력처벌과포토라인세워주세요  동물 학대 범죄자…
"," 16,915
												"
17, 보건복지," 저는 화성 **고 급식실 사고로 하반신이 마비된 교직원의 남편입니다.
"," 16,606
												"
18, 보건복지," 화이자 백신부작용으로 인해 뇌사상태에 빠진 저희 누나좀 도와주세요
"," 16,445
												"
19, 행정," 가계대출 관리를 명목으로 진행되는 은행의 가산금리 폭리를 막아주세요
"," 15,790
												"
20, 인권/성평등," 불법몰카 원인 초소형카메라 사용.판매 금지를 원합니다.
"," 15,216
												"
21, 인권/성평등," 초등학교 여교사 화장실에 카메라 설치한 교장선생님 강력처벌과 신상공개를 촉구합니다.
"," 15,016
												"
22, 교통/건축/국토," 요소수 문제 해결해주세요
"," 14,929
												"
23, 인권/성평등," 계부로부터 성폭행을 당한 뒤 극단적인 선택을 한 두 청주여중생  피의자 계부신상공개 요청 …
"," 14,772
												"
24, 보건복지," 억울하게 돌아가신 저희 어머니를 도와주세요
"," 13,650
												"
25, 기타," 노태우 국가장 반대
"," 13,506
												"
26, 인권/성평등," 천안 **** 금 살인사건 가족입니다. 엄벌에 처해주세요
"," 12,519
												"
27, 보건복지," 모더나 백신 1차 접종 후 사망/ 아버지의 억울함을 풀어주세요.
"," 11,708
												"
28, 보건복지," 43세 두아이의 아빠가 모더나2차 접종 후  하루도 지나지 않아서 사망했습니다.
"," 11,552
												"
