,category,title,press,content,period
0,사회,"""기후위기 조명""..JTBC 박상욱 기자 '올해의 의과학취재상'",JTBC ,"
                        한국과학기자협회가 뽑은 올해의 의과학 취재상, 환경 부문에 JTBC 박상욱 기자가 뽑혔습니다. 심사위원들은 박 기자가 온라인 연재를 통해서 기후 위기 시대를 조명하...
                    ", 2021.11.26
1,사회,지인과 담배 피우다..서울 재래시장서 '흉기 살해',JTBC ,"
                        25일 오후 서울의 한 재래시장에서 지인을 흉기로 살해하고 달아난, 60대 남성이 경찰에 붙잡혔습니다. 피해자와 담배를 피우다 옷속에 숨겨둔 흉기로 범행을 저질렀습...
                    ", 2021.11.26
2,사회,'암 투병 아내' 동네마트 사연에..주민들 '돈쭐' 행렬,JTBC ,"
                        [앵커] 한산했던 동네 마트에 갑자기 손님들이 몰려들기 시작한 곳이 있습니다. 아주 저렴하게 판다거나, 특별한 걸 파는 것도 아닙니다. 이웃들의 따뜻한 마음이 모이...
                    ", 2021.11.26
3,사회,[단독] 의사 아들도 힘겨웠던 의료소송..패소하면 병원 변호사비도 물어내야,JTBC ,"
                        [앵커] 현직 의사가 자신의 어머니가 당한 의료사고를 두고 소송을 벌였는데요. 의사인데도, 이렇게 힘든 줄 몰랐다고 했습니다. 일반인들은 어떨까요. 추적보도 훅, 오...
                    ", 2021.11.26
4,사회,"[밀착카메라] 장애인콜택시 잡기도 힘든데 ""중간에 갈아타세요""",JTBC ,"
                        [앵커] 부르면 30분 넘게 걸리는데, 다른 지역에 가려면 갈아타기까지 해야 하는 택시가 있습니다. 장애인 콜택시 얘기인데요. 밀착카메라 이희령 기자가 직접 타봤습니...
                    ", 2021.11.26
5,사회,"환자 죽어가는데, 의사 없다고..'속수무책 구급차'",JTBC ,"
                        [앵커] 의료 행위는 의사만 하도록 돼 있습니다. 환자가 탄 구급차에서도 예외는 아니죠. 그런데, 구급차에 의사가 타는 일은 100대 중 4대도 되지 않습니다. 결국 많은...
                    ", 2021.11.26
6,사회,"24세 신입 간호사의 죽음..""괴롭힘에 10kg 빠져"" 동료들 증언",JTBC ,"
                        [앵커] ""다음 달부터 일을 그만두고 싶다"", ""너무 힘들어서 못 버티겠다"" 의정부의 한 병원에서 일하던 신입 간호사가 스스로 세상을 떠나기 직전 이런 카카오톡 메시지...
                    ", 2021.11.26
7,사회,'위장수사'로 잡아낸 아동·청소년 성착취범..첫 구속 사례,JTBC ,"
                        [앵커] 아동·청소년을 대상으로 한 디지털 성범죄에 대해서는 경찰이 약 두 달 전부터 신분을 숨긴 채 수사할 수 있습니다. 그렇게 해서 붙잡힌 피의자가 처음으로 구...
                    ", 2021.11.26
8,사회,"정인이 양모 줄어든 형량..재판부 ""계획 살인 단정 못 해""",JTBC ,"
                        [앵커] 학대로 정인이를 숨지게 한 양부모에 대해서 2심 결과가 나왔습니다. 양부에겐 1심의 징역 5년 형이 유지됐고 양모에겐 무기징역을 선고했던 1심보다 낮아진 징...
                    ", 2021.11.26
9,사회,"검찰, '50억 클럽 의혹' 박영수-경제매체 회장 동시 소환",JTBC ,"
                        [앵커] 검찰이 대장동 개발 로비 의혹과 관련해 박영수 전 특검을 소환했습니다. 취재 기자 연결합니다. 이서준 기자, 검찰이 박 특검에 대해 구체적으로 어떤 부분을 ...
                    ", 2021.11.26
10,사회,전두환 영결식 하루 전 빈소..'붓글씨 소동'에 경찰 출동,JTBC ,"
                        [앵커] 전두환 씨 장례 나흘째입니다. 조문객 발길은 뜸해졌습니다. 간간이 일부 시민들이 시위를 하기도 했는데요, 취재기자 연결해보죠. 공다솜 기자, 오늘은 또 무슨...
                    ", 2021.11.26
11,사회,일본과 백신 효과 차이? 코로나 확진자 수 벌어진 이유는,JTBC ,"
                        [앵커] 취재기자와 조금 더 들어가 보겠습니다. 이한주 기자, 이동량이 줄었다고 하는데, 어느 정도나 차이가 나는 거죠? [기자] 우리나라와 비교해 보면 확연히 차이가...
                    ", 2021.11.26
12,사회,"한국 3901명, 일본 119명..접종률 비슷한데 '극과 극' 확진자수",JTBC ,"
                        [앵커] 3901명, 그리고 119명. 한국과 일본의 신규 확진자 수입니다. 우리는 감당할 수 없는 확산세를 겪고 있지만, 일본은 전혀 딴판입니다. 얼마 전까지와는 정반대이...
                    ", 2021.11.26
13,사회,"'새 변이' 출현..""델타보다 더 셀 수도"" WHO 긴급회의",JTBC ,"
                        [앵커] 새로운 코로나19 변이 바이러스까지 나왔습니다. 엎친 데 덮친 격이죠. 지금 확산세를 주도하고 있는 델타 변이보다, 더 빠르고 강력할 수도 있어서 우려가 큽니...
                    ", 2021.11.26
14,사회,"위·중증 연일 최고치인데..정부 ""주말에 더 논의하겠다""",JTBC ,"
                        [앵커] 결단의 시간이 다가왔지만, 정부는 주저하고 있습니다. 어제 일상회복위원회에선 격론 끝에 결론을 내리지 못했습니다. 지금의 확산세를 막기 위한 강한 조치들...
                    ", 2021.11.26
15,사회,"AFP ""필리핀, 한국 등 백신접종 여행객에 무격리 입국허용""",JTBC ,"
                        AFP통신 등 외신들은 필리핀 정부가 다음달 1일부터 한국과 미국 등 157개국의 코로나 백신 접종 완료자에 대해 무격리 입국을 시행할 예정이라고 보도했습니다. 필리핀...
                    ", 2021.11.26
16,사회,"아파트 사생활, 알몸까지 '탈탈'..월패드 해킹 논란",JTBC ,"
                        1. 아파트 사생활, 알몸까지 '탈탈'…정부 '월패드 해킹' 차단 나서 제가 준비한 첫 번째 소식의 키워드 ""집 안도 위험""입니다. 월패드라는 말, 들어보셨나요? 월패드는...
                    ", 2021.11.26
17,사회,코로나 위중증 병상 '마비'..29일 추가방역대책 발표,JTBC ,"
                        [앵커] 코로나 위중증 환자 병상이 마비상태입니다. 어제(25일)까지 하루 이상 병상을 배정받지 못한 환자수는 1310명이고요. 위중증 환자수는 617명, 연일 최다를 경신...
                    ", 2021.11.26
