,category,title,press,content,period
0,사회,"'뇌물수수 의혹' 최윤길 전 성남시의장 경찰 조사..""소설 쓰시네""",YTN ,"
                        대장동 개발 특혜 의혹과 관련해 수십억 원대 뇌물수수 의혹이 제기된 최윤길 전 성남시의회 의장이 경찰에 출석해 8시간 동안 조사를 받았습니다. 경기남부경찰청은 오...
                    ", 2021.11.26
1,사회,충남 당진서 초등학생 치어 숨지게 한 화물차 운전자 입건,YTN ,"
                        충남 당진경찰서는 초등학생을 치어 숨지게 한 화물차 운전자 50대 A 씨를 불구속 입건했다고 밝혔습니다. A 씨는 어제(25일) 오후 3시 20분쯤 충남 당진시에 있는 한 ...
                    ", 2021.11.26
2,사회,"공수처, '이성윤 공소장 유출 의혹' 대검찰청 압수수색..추후 재개",YTN ,"
                        고위공직자범죄수사처가 이성윤 서울고검장의 공소장 유출 의혹과 관련해 대검찰청을 압수수색 했지만, 마무리하지 못하고 철수했습니다. 공수처는 오늘(26일) 서울 서...
                    ", 2021.11.26
3,사회,"박형준 부산시장 공직선거법 첫 재판..""불법 사찰과 관련 없다""",YTN ,"
                        [앵커] 지난해 지방선거 과정에서 이명박 정부 당시 홍보기획관으로 일한 박형준 부산시장이 '4대강 반대 단체를 불법 사찰하는 데 관여한 적이 없다'는 주장을 했는데...
                    ", 2021.11.26
4,사회,"양대 노총 ""강제징용노동자상은 '역사 기록'..정부가 보호해야""",YTN ,"
                        [앵커] 서울 용산역 앞에는 양대 노총과 시민들의 자발적인 모금 운동으로 세워진 일제 강제징용노동자 동상이 있는데요. 민간단체가 국유지 위에 동상을 세웠다는 이유...
                    ", 2021.11.26
5,사회,"공수처, 대검 압수수색..이례적인 '예고된' 강제수사",YTN ,"
                        [앵커] 고위공직자범죄수사처가 이성윤 서울고검장의 공소장 유출 사건과 관련해 대검찰청을 압수수색 했습니다. 그런데 '예고된' 압수수색이었다고 합니다. 밀행성과 ...
                    ", 2021.11.26
6,사회,만취 여성 머리채 잡은 부산 경찰 대기발령,YTN ,"
                        부산에서 경찰이 만취한 여성의 머리채를 잡고 흔드는 영상이 온라인에 퍼져 경찰이 대기발령 조치 후 감찰에 착수했습니다. 부산경찰청은 영상 속 경찰을 대기발령 조...
                    ", 2021.11.26
7,사회,"검찰, '도이치모터스 주가조작' 권오수 회장 부부 동시 소환",YTN ,"
                        도이치모터스 주가조작 의혹을 수사하는 검찰이 구속 수감된 권오수 회장과 권 회장 배우자를 동시에 불러 조사했습니다. 서울중앙지방검찰청은 오늘(26일) 권 회장과 ...
                    ", 2021.11.26
8,사회,"마지막까지 시끄러운 전두환 빈소..자택 앞에선 ""5·18 끝까지 규명""",YTN ,"
                        [앵커] 발인 전날까지 전두환 씨 빈소는 극우성향 지지자와 유투버들의 소동으로 시끄러웠습니다. 전 씨 자택 앞에선 부정 축재 재산을 환수하고, 5·18 민주화운동 당...
                    ", 2021.11.26
9,사회,"검찰, '뇌물수수·스폰서 의혹' 윤우진 재소환",YTN ,"
                        이른바 '스폰서' 의혹을 받는 윤우진 전 용산세무서장이 과거 무혐의 처분된 뇌물수수 사건으로 다시 검찰 조사를 받았습니다. 서울중앙지검 형사13부는 오늘(26일) 뇌...
                    ", 2021.11.26
10,사회,"밤 9시까지 전국 3,281명 확진..어제보다 52명 많아",YTN ,"
                        오늘 0시부터 밤 9시까지 전국에서 코로나19 양성 판정을 받은 신규 확진자는 모두 3천281명으로 집계됐습니다. 이는 17개 시도 중 부산을 제외한 16개 시도의 확진자 ...
                    ", 2021.11.26
11,사회,"검찰, '50억 클럽' 박영수·머니투데이 회장 동시 소환..최윤길도 경찰 출석",YTN ,"
                        [앵커] 대장동 의혹을 수사하는 검찰이 이른바 '50억 클럽' 명단에 있는 것으로 지목된 박영수 전 특별검사와 언론사 회장을 동시에 소환했습니다. 로비 의혹 수사가 본...
                    ", 2021.11.26
12,사회,"정인이 양모 '무기징역→징역 35년'..시민단체 ""터무니없다""",YTN ,"
                        [앵커] 16개월 입양아 정인이를 학대해 살해한 혐의로 재판에 넘겨진 양모 장 모 씨가 항소심에서 감형을 받았습니다. 1심에선 무기징역이 선고됐었는데, 2심 재판부는 ...
                    ", 2021.11.26
13,사회,아파트 '월패드' 해킹 공포 확산..대응 방법은?,YTN ,"
                        [앵커] 아파트에 인터폰처럼 설치돼 여러 IT기기를 관리할 수 있는 '월패드'가 해킹된 정황이 포착돼 관계부처와 경찰이 단속에 나섰습니다. 이미 해킹된 아파트 명단까...
                    ", 2021.11.26
