,category,title,press,content,period
0,사회,"""1000만원 큰 돈인데 '그런' 기부금은 안 받아요""..돌연 거절한 여성단체 왜?",매일경제 ,"
                        1000만원의 통 큰 기부금. 여성인권운동 단체인 한국여성의전화 후원 계좌에 의문의 후원금이 입금됐다. 그러나 한국여성의전화는 후원 목적을 확인한 뒤 전액 반환했다...
                    ", 2021.11.26
1,사회,"""집 판 돈 7억8200만원, 코인에 올인..건물주 돼서 올게요""",매일경제 ,"
                        본인 소유의 집을 팔아서 생긴 돈 7억8200여 만원을 모두 암호화폐(코인)에 투자한 한 네티즌의 이야기가 화제가 되고 있다. 최근 한 온라인 커뮤니티에는 '집 팔아서 ...
                    ", 2021.11.26
2,사회,"검찰, '뇌물수수·스폰서 의혹' 윤우진 소환조사",매일경제 ,"
                        육류 수입업자에게서 뇌물을 수수한 혐의를 받는 윤우진 전 용산세무서장이 재차 검찰에 소환됐다. 윤 전 서장은 윤석열 전 검찰총장의 측근인 윤대진 법무연수원 기획...
                    ", 2021.11.26
3,사회,코로나 오후 9시까지 전국서 3281명 확진,매일경제 ,"
                        단계적 일상회복 전환 이후 코로나19 확산세가 이어지면서 26일에도 전국에서 확진자가 잇따랐다. 방역당국에 따르면 이날 0시부터 오후 9시까지 전국에서 코로나19 양...
                    ", 2021.11.26
4,사회,"중학생 10명 할머니 둘러싸더니 이고, 지고, 밀고..폐지 줍는 일도와 '뭉클'",매일경제 ,"
                        부산의 중학생 10명이 바람이 강하게 부는 날 폐지를 정리하는 할머니를 그냥 지나치지 않고 도와준 영상이 훈훈한 감동을 선사하고 있다. 26일 부산경찰 페이스북에는 ...
                    ", 2021.11.26
5,사회,[속보] 코로나19 오후 9시까지 서울 1587명 확진..또 동시간대 최다,매일경제 ,"
                        금요일인 26일 0시부터 오후 9시까지 21시간 동안 서울의 코로나19 신규 확진자 수가 1587명으로 잠정 집계됐다고 서울시가 밝혔다. 같은 시간대 잠정 집계치로 역대 최...
                    ", 2021.11.26
6,사회,"""80세 노부모, 지역전환돼 건보료 260만원 내라네요""..이달부터 인상 폭탄 피하려면",매일경제 ,"
                        ""80세를 바라보는 노부모가 평생 일구신 집 한채와 차 한대가 전부인데, 공시가격 급등만으로 지역가입자로 전환돼 연간 260만원이 넘는 건강보험료(건보료)를 부담케 ...
                    ", 2021.11.26
7,사회,"""청년층도 안 떠난다""..30대 강원도 인구 늘어난 이유 봤더니",매일경제 ,"
                        \ 10월 한달간 강원도내 순유입 인구가 증가한 것으로 나타났다. 특히, 10월 한달 동안 20대 인구는 32명이 순유입했다. 이는 최근 도내에 신규 브랜드 아파트 공급과 ...
                    ", 2021.11.26
8,사회,코로나19 오후 6시까지 전국서 2266명 확진..어제보다 242명↑,매일경제 ,"
                        단계적 일상회복 전환 이후 코로나19 확산세가 지속하면서 26일에도 전국에서 확진자가 잇따랐다. 방역당국에 따르면 이날 0시부터 오후 6시까지 전국에서 코로나19 양...
                    ", 2021.11.26
9,사회,"공수처, '이성윤 공소장 유출 의혹' 대검 압수수색 철수",매일경제 ,"
                        고위공직자범죄수사처가 26일 이성윤 서울고검장 공소장 유출 의혹과 관련해 압수수색에 착수했지만 사실상 '빈손'으로 철수했다. 공수처는 이날 오전 10시께 대검찰청 ...
                    ", 2021.11.26
10,사회,"[속보] 검찰, '50억 클럽' 의혹 박영수 전 특검 소환조사",매일경제 ,"
                        검찰이 대장동 개발업자들로부터 금품을 받거나 받기로 약속했다는 이른바 '50억 클럽'에 이름이 거론된 박영수 전 특별검사(특검)를 소환했다. 26일 법조계에 따르면 ...
                    ", 2021.11.26
11,사회,하루새 대기자 370명 폭증..중환자 병상대란에 속탄다,매일경제 ,"
                        ◆ 코로나 병상 대란 ◆ 정부가 코로나19 백신 미접종자나 병상 이동을 거부한 사람에 대해 치료비 일부를 자부담하게 하는 방안을 검토한다. 김부겸 국무총리(사진)는 ...
                    ", 2021.11.26
12,사회,'윤창호법 처벌' 15만명 감경되나,매일경제 ,"
                        2회 이상 음주운전한 재범을 가중 처벌하는 이른바 '윤창호법'에 대해 헌법재판소가 지난 25일 위헌 결정을 내리면서 후폭풍이 거세게 일고 있다. 법이 시행된 2019년부...
                    ", 2021.11.26
