,category,title,press,content,period
0,사회,[팩트체크]여성 배려해 기준 낮췄다는 경찰 체력시험 사실일까?,이데일리 ,"
                        [이데일리 박두호 기자] 최근 인천과 양평에서 일어난 흉기 난동 사건에서 경찰의 부실 대응 논란으로 경찰 체력 시험이 다시 도마 위에 올랐다. 이준석 국민의힘 대표...
                    ", 2021.11.26
1,사회,"사고 차량 운전자 돕다 숨진 이영곤 원장, 의사자 인정",이데일리 ,"
                        [이데일리 황효원 기자] 교통사고 부상자를 돕다가 세상을 떠난 의사 고(故) 이영곤(61)원장이 의사자로 인정됐다. 고(故) 이영곤 원장. (사진=뉴시스)26일 보건복지부...
                    ", 2021.11.26
2,사회,서울 오후 9시까지 1587명 확진..역대 최다,이데일리 ,"
                        [이데일리 김영환 기자] 26일 오후 9시까지 서울에서만 코로나19 확진자가 1587명 발생한 것으로 집계됐다. 같은 시간대 잠정 집계치 역대 최다다. 서울시는 26일 하루 ...
                    ", 2021.11.26
3,사회,생활치료센터서 도주한 20대 불법체류자..사흘 만에 검거,이데일리 ,"
                        [이데일리 황효원 기자] 코로나19 생활치료센터에 격리됐다가 도주한 불법체류자가 3일 만에 경찰에 붙잡혔다. (사진=연합뉴스)26일 인천 서부경찰서는 감염병 예방 및 ...
                    ", 2021.11.26
4,사회,"法, '고발사주' 의혹 김웅 압수수색 영장 취소",이데일리 ,"
                        [이데일리 김영환 기자] 법원이 고위공직자범죄수사처(공수처)가 이른바 ‘고발 사주’ 의혹을 수사하기 위해 발부받은 김웅 국민의힘 의원실에 대한 압수수색 영장을 ...
                    ", 2021.11.26
5,사회,"'계약직 성폭력' 6년만에 대법원서 뒤집혔다..""직장 내 괴롭힘·성희롱""",이데일리 ,"
                        [이데일리 김영환 기자] 전직 계약직 직원이 직장에서 성희롱과 성추행 피해를 당했다며 제기한 민사소송에서 대법원이 원심을 파기하고 피해자의 손을 들어줬다. 지난 ...
                    ", 2021.11.26
6,사회,"검찰, 대장동 '50억 클럽' 박영수·홍선근 소환..로비 수사 본격화",이데일리 ,"
                        [이데일리 하상렬 기자] 경기 성남시 대장동 개발사업 특혜·로비 의혹을 수사 중인 검찰이 개발업자로부터 금품을 받거나 받기로 약속했다는 의혹을 받는 이른바 ‘50...
                    ", 2021.11.26
7,사회,"검찰, 청주 투신 여중생 성폭행 계부에 무기징역 구형",이데일리 ,"
                        [이데일리 황효원 기자] 중학생인 의붓딸과 딸 친구에게 성범죄를 저질러 죽음으로 내몬 혐의로 구속기소된 계부에게 검찰이 무기징역을 구형했다. (사진=연합뉴스)26일...
                    ", 2021.11.26
8,사회,"휴젤 '보툴렉스' 계속 판다..법원, 집행정지 신청 인용",이데일리 ,"
                        [이데일리 김영환 기자] 휴젤(145020)의 보툴리눔 톡신 제제 ‘보툴렉스’의 판매가 당분간 재개된다. 보툴렉스는 앞서 식품의약품안전처(식약처)로부터 품목허가 취소...
                    ", 2021.11.26
9,사회,(영상)국민연금 월 300만원 이상 부부 141쌍..최고 435만원,이데일리 ,"
                        부부가 모두 국민연금을 받는 수급자가 해마다 늘고 있는 가운데 두 사람이 합쳐 매달 300만원 이상을 받는 부부가 140쌍에 달하는 것으로 나타났습니다. 26일 국민연금...
                    ", 2021.11.26
10,사회,[주말날씨]아침 춥다 낮엔 평년보다 포근 '큰 일교차',이데일리 ,"
                        사진=연합뉴스[이데일리 김경은 기자] 이번 주말(27~28일) 아침엔 매섭게 춥고 낮엔 평년보다 따뜻해 포근하겠다. 26일 기상청에 따르면 28일까지 중국 산동반도 부근에...
                    ", 2021.11.26
11,사회,"(영상)""따뜻한 세상""..폐지 줍는 할머니 도운 중학생들",이데일리 ,"
                        [이데일리 황효원 기자] 부산의 한 중학교 학생 10명이 교문 앞에서 파지를 줍는 할머니를 다함께 돕는 모습이 공개됐다. (영상=부산경찰청 페이스북)26일 부산경찰청에...
                    ", 2021.11.26
12,사회,"공수처, '위법 영장 논란' 압수수색 강행..효력 인정될까",이데일리 ,"
                        [이데일리 하상렬 기자] ‘이성윤 서울고검장 공소장 유출 의혹’을 수사 중인 고위공직자범죄수사처(공수처)가 대검찰청 정보통신과 등에 대한 압수수색을 진행하며 본...
                    ", 2021.11.26
13,사회,숨진 직원과 삭제된 CCTV.. 속리산 모텔에서 무슨 일이,이데일리 ,"
                        [이데일리 송혜수 기자] 지난 8월 충북 보은군 속리산에서 실종됐던 50대 지적장애인 남성이 숨진 채 발견된 가운데, 속리산 인근 모텔 업주로부터 학대와 갈취를 당한 ...
                    ", 2021.11.26
14,사회,"상명대, 홈페이지 개편..""게임 캐릭터로 눈높이 맞춰""",이데일리 ,"
                        [이데일리 오희나 기자] 상명대는 대학 홈페이지의 인트로 페이지를 학생들의 눈높이에 맞게 개편했다고 26일 밝혔다. 지난 18일 대학수학능력시험이 끝났고, 정시모집 ...
                    ", 2021.11.26
15,사회,나흘째 전두환 빈소 지킨 장세동..SK 최철원 사장도 조문,이데일리 ,"
                        [이데일리 김대연 기자] 제11·12대 대통령을 지낸 전두환씨의 발인이 하루 앞으로 다가온 가운데 그의 빈소가 마련된 지 나흘째인 26일에도 대체로 한산한 분위기가 이...
                    ", 2021.11.26
