,category,title,press,content,period
0,사회,한려해상 사천지구서 미기록종 '꽃말미잘류' 발견,경향신문 ,"
                        [경향신문] 국내 생물종 목록에 기록되지 않은 꽃말미잘류가 한려해상공원 경남 사천지구에서 발견됐다. 26일 국립공원공단 한려해상국립공원사무소에 따르면 최근 사천...
                    ", 2021.11.26
1,사회,오후 9시까지 신규 확진 3281명..최종 4000명 근접할듯,경향신문 ,"
                        [경향신문] 26일 0시부터 오후 9시까지 전국에서 신규 확진자가 3281명 나왔다. 이는 17개 시도 중 부산을 제외한 16개 시도의 확진자 합계다. 전날 같은 시간(3229명)...
                    ", 2021.11.26
2,사회,"""야구장 2만9000명인데 집회만 왜 499명이냐"" 노동계, 방역 지침 반발",경향신문 ,"
                        [경향신문] 단계적 일상회복(위드 코로나) 속에서도 정부가 집회 제한 방침을 고수하면서 노동계와 시민사회의 반발이 커지고 있다. 경찰도 엄정 대응 방침을 거듭 밝히...
                    ", 2021.11.26
3,사회,오늘의 부고 - 2021년 11월 27일,경향신문 ,"
                        [경향신문] ■이범희 EBS 수석 별세, 주희숙씨 남편상, 이재은·재윤 부친상=24일 오후 10시38분 신촌세브란스병원. 발인 27일 오전 9시 (02)2227-7500 ■이응문씨 별세...
                    ", 2021.11.26
4,사회,'문 대통령에 신발 투척' 50대 무죄,경향신문 ,"
                        [경향신문] 문재인 대통령을 향해 신발을 벗어 던졌다가 재판에 넘겨진 정모씨(58)가 1심에서 무죄를 선고받았다. 그러나 집회 중 경찰관을 폭행하고 세월호 유가족을 ...
                    ", 2021.11.26
5,사회,한 아이를 지키려면 온 마을이 필요합니다,경향신문 ,"
                        [경향신문] ‘아동학대 사망’ 한 달에 3명 이상발생건수는 5년 새 3배 가까이 늘어‘강동구 오군’처럼 피해자 대부분 3세 이하공공기관이 ‘사각지대’ 미리 찾아야 ...
                    ", 2021.11.26
6,사회,'주 32시간' 비정규직도 '주 4일제'가 반가울까?,경향신문 ,"
                        [경향신문] 대선 후보들 ‘노동 의제’로 부각“덩달아 소득 감소” 우려 목소리비정규직 노동시간 정규직의 77%‘일자리 나누기 정책’ 함께 논의를 대선을 앞두고 ‘...
                    ", 2021.11.26
7,사회,국내 코로나 완치 후 '재감염 사례'는 20건..'부스터샷 돌파 감염'은 4건,경향신문 ,"
                        [경향신문] 국내에서 코로나19에 감염됐다 회복한 후 다시 감염되는 ‘재감염 사례’가 20건 확인됐다. 박영준 중앙방역대책본부(방대본) 역학조사팀장은 26일 백브리핑...
                    ", 2021.11.26
8,사회,"아이들 맞이한 선생님들 ""급식 먹을 때 말하지마"" 반복밖에",경향신문 ,"
                        [경향신문] 서울 초·중·고 학생 87% 등교…2주 전보다 20%P 이상 늘어학교 방역, 소독·환기 전부…12~17세 확진 98% ‘백신 미접종’정부, 접종률 올릴 묘안 없고 방...
                    ", 2021.11.26
9,사회,"[알림] '초현실주의 거장들'전, 27일 개막",경향신문 ,"
                        [경향신문] 초현실주의 거장들의 대표작 180여점을 한자리에서 볼 수 있는 대규모 전시가 열립니다. 27일부터 서울 서초구 예술의전당 한가람미술관에서 개막하는 ‘초...
                    ", 2021.11.26
10,사회,"검찰, 박영수 전 특검 소환 '50억 클럽' 추궁",경향신문 ,"
                        [경향신문] 대장동 관련 각종 의혹 전반 확인김만배 금전거래 언론사 사주 조사 경기 성남시 대장동 개발 로비 의혹을 수사하는 검찰이 26일 박영수 전 특별검사(사진)...
                    ", 2021.11.26
11,사회,"김 총리 ""미접종자 치료비 자부담 검토""",경향신문 ,"
                        [경향신문] “스스로 선택에 대한 책임 차원”…위드 코로나 긴급 멈춤엔 “후퇴 안 돼”정부, 방역패스 ‘유효기간 6개월’로…부스터샷 강화 등 대책 29일 발표 김부...
                    ", 2021.11.26
