,category,title,press,content,period
0,사회,제주서 9개월 '무전 숙박'한 자메이카 일가족.. 피해액 2600만원,조선일보 ,"
                        자메이카 국적의 일가족이 9개월 간 돈 없이 제주도내 숙박 업소 8곳을 전전하며 도망치길 반복하다가 재판에 넘겨졌다. 이들은 자메이카에서도 사기 혐의로 수배돼 해...
                    ", 2021.11.26
1,사회,[단독] 'PD수첩 무죄' 문성관 판사가 '이성윤 수사팀' 압수수색 영장 발부,조선일보 ,"
                        ‘이성윤 공소장 유출 의혹’ 사건을 수사 중인 공수처가 26일 ‘이성윤 수사팀’의 메신저 내용을 확인하기 위해 대검 서버를 압수수색한 것과 관련, 해당 압수수색 영...
                    ", 2021.11.26
2,사회,"주말 광화문·여의도 대규모 집회..경찰 ""교통 통제""",조선일보 ,"
                        11월 마지막 주말인 27~28일 서울 도심 곳곳에서 대규모 집회·시위가 열려 일대 교통 혼잡이 예상된다. 전두환 전 대통령 발인과 마라톤 행사도 진행된다. 집회·시위...
                    ", 2021.11.26
3,사회,"검찰, '금전 비위' 의혹 전남경찰청 팀장급 직원 사무실 압수수색",조선일보 ,"
                        검찰이 금전 비위 의혹이 불거진 전남경찰청 소속 현직 경찰관의 사무실을 압수수색했다. 26일 전남경찰청에 따르면 광주지검은 이날 전남청 한 외근 부서 사무실에 수...
                    ", 2021.11.26
4,사회,근무중 순찰차 20분 넘게 불법주차..카페서 노닥거린 인천 경찰들,조선일보 ,"
                        인천 한 지구대 경찰관들이 근무 시간에 순찰차를 20여 분간 불법 주차하고 카페에 다녀왔다는 진정이 제기돼 경찰이 사실 관계를 조사 중이다. 26일 인천 남동경찰서에...
                    ", 2021.11.26
5,사회,"""공수처가 불법 압수수색, 효력 취소를""..법원, 김웅 준항고 받아들였다",조선일보 ,"
                        이른바 ‘고발 사주’ 의혹 사건의 피의자인 김웅 국민의힘 의원이 고위공직자범죄수사처의 압수수색 집행에 대해 낸 준항고 신청을 법원이 26일 받아들였다. 서울중앙...
                    ", 2021.11.26
6,사회,"검찰, '50억 클럽' 의혹 박영수 전 특검 첫 소환조사",조선일보 ,"
                        ‘대장동 개발 특혜 의혹’을 수사 중인 서울중앙지검 전담수사팀이 26일 이른바 ‘50억 클럽’에 거론된 박영수 전 특별검사를 소환한 것으로 알려졌다. 검찰이 박 전 ...
                    ", 2021.11.26
7,사회,부산 전·현직 선출직 공직자 3명 '부동산 투기' 의심,조선일보 ,"
                        부산 전·현직 선출직 공직자 3명이 개발예정지 등에 부동산 투기를 했거나 농지법을 위반한 것으로 의심된다는 조사 결과가 나왔다. 부산시는 “부산 공직자 부동산 비...
                    ", 2021.11.26
8,사회,"대검 압수수색 간 공수처.. '절차위반' 항의에 ""안 한 것으로 하자""",조선일보 ,"
                        ‘이성윤 공소장 유출 사건’을 수사 중인 공수처가 예고대로 26일 대검 서버 등을 압수수색했다. 그러나 이날 공수처는 압수수색 대상에게 사전에 반드시 고지 해야 하...
                    ", 2021.11.26
9,사회,"소란 피우는 만취 여성.. 출동한 경찰, 머리채 잡고 마구 흔들어",조선일보 ,"
                        경찰이 부산 번화가에서 만취 여성의 머리채를 잡고 흔드는 영상이 공개돼 논란이 일고 있다. 부산 경찰청은 이 경찰을 대기발령 조치했다. 경찰에 따르면 지난 4일 밤 ...
                    ", 2021.11.26
