,category,title,press,content,period
0,사회,"오후 9시까지 3281명 확진, 전날보다 52명↑..4000명 안팎 예상",중앙일보 ,"
                        26일 오후 9시까지 국내 신종 코로나바이러스 감염증(코로나19) 확진자는 3281명으로 집계됐다. 방역당국 및 각 지방자치단체 등에 따르면 이날 0시부터 오후 9시까지 ...
                    ", 2021.11.26
1,사회,길거리 주저 앉은 만취女 머리채 잡은 이..부산 경찰이었다,중앙일보 ,"
                        부산 번화가에서 주취 신고를 받고 출동한 경찰관이 만취한 여성의 머리채를 잡고 흔드는 영상이 온라인 커뮤니티 등을 통해 공개됐다. 경찰은 해당 경찰관 대기발령 조...
                    ", 2021.11.26
2,사회,부상자 돕다 참변..'진주 슈바이처' 이영곤 원장 의사자 인정,중앙일보 ,"
                        교통사고 부상자를 돕다가 세상을 떠난 내과 의사 고(故) 이영곤 원장이 의사자로 인정됐다. 보건복지부는 26일 제4차 의사상자심사위원회를 열고 이 원장 등 4명을 의...
                    ", 2021.11.26
3,사회,檢 '50억 클럽' 수사 본격화..박영수 이어 곽상도 줄줄이 소환,중앙일보 ,"
                        성남시 대장동 비리·개발 의혹을 수사 중인 검찰이 이른바 ‘50억 클럽’에 이름이 거론된 박영수(69) 전 특별검사(특검) 등을 26일 소환조사했다. 야당이 국정 감사에...
                    ", 2021.11.26
4,사회,"""경찰관들, 근무 중 불법 주차하고 카페 가""..사실관계 확인 중",중앙일보 ,"
                        인천의 한 지구대 경찰관들이 근무시간 중 순찰차를 불법 주차하고, 20여분 간 카페에 다녀왔다는 주장이 제기돼 경찰이 사실관계를 확인하고 있다. 26일 경찰 등에 따...
                    ", 2021.11.26
5,사회,"김웅 ""공수처 압수수색 효력 취소해 달라""..법원, 준항고 인용",중앙일보 ,"
                        고위공직자범죄수사처(공수처)가 이른바 ‘고발 사주’ 의혹에 연루된 김웅 국민의힘 의원을 압수수색하기 위해 발부받은 영장의 효력을 취소하라고 법원이 결정했다. 2...
                    ", 2021.11.26
6,사회,공수처 '이성윤 공소장 유출' 압색 대상에 '친정부' 신성식 포함,중앙일보 ,"
                        고위공직자범죄수사처(공수처)가 26일 이성윤 서울고검장의 김학의 전 법무부 차관 불법 긴급 출국금지(출금) 의혹 수사 방해 혐의(직권남용권리행사방해) 공소장이 지...
                    ", 2021.11.26
7,사회,"""백신 무력화 될수도""..""끔찍"" 과학자도 놀란 최악의 변이",중앙일보 ,"
                        최근 남아프리카공화국 등에서 확인된 신종 코로나바이러스 감염증(코로나19) 새 변이(B.1.1.529)가 최악의 변종이 될 수 있다는 경고가 나오며 각국이 긴장하고 있다. ...
                    ", 2021.11.26
8,사회,"검찰, '채용비리 의혹' 조용병 신한금융지주 회장 무죄에 상고",중앙일보 ,"
                        신한은행장 시절 부정채용에 관여했다는 의혹으로 재판에 넘겨졌다가 항소심에서 무죄를 선고받은 조용병 신한금융지주 회장에 대해 검찰이 상고했다. 26일 법조계에 따...
                    ", 2021.11.26
9,사회,"[1보]검찰, 대장동 '50억 클럽' 거론 박영수 전 특검 소환조사",중앙일보 ,"
                        검찰이 대장동 개발업자들로부터 금품을 받거나 받기로 약속했다는 이른바 '50억 클럽'에 거론된 박영수 전 특별검사를 소환했다. 서울중앙지검 전담수사팀(팀장 김태훈...
                    ", 2021.11.26
