,category,title,press,content,period
0,사회,"검찰, '뇌물수수 의혹' 윤우진 전 용산세무서장 조사",한겨레 ,"
                        검찰이 세무 조사 무마 청탁을 대가로 육류업자로부터 금품 등을 받은 혐의를 받는 윤우진 전 용산세무서장을 불러 조사했다. 윤 전 서장은 윤석열 전 검찰총장의 측근...
                    ", 2021.11.26
1,사회,"검찰, '도이치모터스 주가조작' 혐의 권오수 회장 부부 조사",한겨레 ,"
                        [도이치모터스 주가조작 의혹] 도이치모터스 주가조작을 총괄·지시한 혐의를 받는 권오수 도이치모터스 회장과 부인 안아무개씨가 26일 검찰 조사를 받았다. 서울중앙...
                    ", 2021.11.26
2,사회,"시민들 광주로, 광주로..""사과받지 못한 분함 위로드립니다""",한겨레 ,"
                        ‘사과받지 못한 분함 위로드립니다.’ 26일 오전 광주시 북구 운정동 국립5·18민주묘지(5·18묘지) 들머리에 놓인 방명록에 장아무개씨가 적은 추모의 글이다. 같은 ...
                    ", 2021.11.26
3,사회,"법원, 김웅 압수수색 영장 취소..공수처 '재항고' 검토",한겨레 ,"
                        [윤석열 검찰 ‘고발 사주’ 의혹] 검찰의 고발 사주 의혹을 수사하는 고위공직자범죄수사처(공수처)의 국회의원실 압수수색 영장을 취소해달라며 김웅 국민의힘 의원이...
                    ", 2021.11.26
4,사회,"검찰, '50억 클럽' 의혹 박영수 전 특검 첫 조사",한겨레 ,"
                        대장동 개발 특혜 의혹을 수사하는 검찰이 ‘50억원 클럽’ 의혹을 받는 박영수 전 특별검사를 불러 조사했다. 박 전 특검 조사는 이번이 처음이다. 서울중앙지검 전담...
                    ", 2021.11.26
5,사회,"구본환 전 인천국제공항 사장, 해임 취소 소송 1심 승소",한겨레 ,"
                        태풍에 제대로 대비하지 않았다는 이유로 해임된 구본환 인천국제공항공사 사장이 해임 취소 소송을 내 승소했다. 서울행정법원 행정11부(재판장 강우찬)는 구 전 사장...
                    ", 2021.11.26
6,사회,11월 27일 궂긴 소식,한겨레 ,"
                        ◆ 권중동(초대 노동부 장관)씨 별세: 경 선(선동물병원장) 명 정 진(에르메스 디자이너)씨 부친, 목상호(미국 공인회계사) 이용직(청CG 아카데미 원장) 김종명(한화테...
                    ", 2021.11.26
7,사회,11월 27일 인사,한겨레 ,"
                        ⊙ 교육부 △기획조정실 최경 ⊙ 외교부 △기획조정실장 최형찬 △재외동포영사〃 김완중 ⊙ 인사혁신처 <전보> ◇고위공무원(실장급) △차장 조성주 ◇〃(국장급) △기...
                    ", 2021.11.26
8,사회,'화재 참사' 이천 물류센터 '대피통로 폐쇄' 결정한 발주업체 직원 무죄,한겨레 ,"
                        38명이 숨진 경기도 이천시 ㈜한익스프레스 물류센터 화재 참사가 일어나기 1년 전 대피 통로 폐쇄를 결정한 한익스프레스 소속 관계자에게 무죄가 확정됐다. 대법원 1...
                    ", 2021.11.26
9,사회,"공직선거법 위반 박형준 부산시장 첫 공판 ""성심성의껏 임할 것""",한겨레 ,"
                        지난 4월7일 재·보궐선거에서 공직선거법 위반 혐의(허위사실공표)로 재판에 넘겨진 박형준 부산시장의 첫번째 재판이 26일 부산지법에서 열렸다. 부산지법 형사6부(재...
                    ", 2021.11.26
