,category,title,press,content,period
0,정치,"이재명, 연일 쇄신 드라이브..호남서 '바닥 민심' 잡는다",JTBC ,"
                        [앵커] 민주당 이재명 후보, 연일 당과 선대위 쇄신 드라이브를 걸고 있죠. 이번에는 3박 4일 동안 호남에 머무르면서 바닥 민심 잡기에 나선다는 계획입니다. 전두환 ...
                    ", 2021.11.26
1,정치,[국민채점단] 대선후보별 '성평등정책 공약' 점수는?,JTBC ,"
                        [앵커] 국민채점단이 주요 대선 후보의 공약에 점수를 매깁니다. 이번 주엔 '성 평등 정책'을 평가했습니다. JTBC가 네 후보의 캠프에서 공약을 4가지씩 받았고, 온라인...
                    ", 2021.11.26
2,정치,"이재명 ""임금격차 해소"" VS 윤석열 ""권력형 성범죄 근절""..성평등 공약 점수는?",JTBC ,"
                        JTBC 국민채점단이 매주 주요 대선 후보의 공약을 평가합니다. JTBC가 글로벌리서치와 함께 어제(25일)부터 오늘(26일)까지 이틀간 온라인 패널 1143명에게 점수를 받았...
                    ", 2021.11.26
3,정치,"[백브리핑] 윤석열 ""홍, 귀엽고 화끈""..홍준표 ""버릇없다""",JTBC ,"
                        뉴스 뒤에 숨은 이야기 백브리핑 시작합니다. 첫 번째 브리핑 < 귀엽고 화끈해서? > 입니다. 국민의힘 윤석열 대선후보가 어제(25일) 서울대에서 학생들을 만났죠. 한 ...
                    ", 2021.11.26
4,정치,'김종인 빠진' 선대위 가동..김병준에 힘 실은 윤석열,JTBC ,"
                        [앵커] 대선이 불과 100여 일 앞이고 윤석열 후보가 선출된 지 20일이 넘었지만, 국민의힘은 여전히 '선대위' 구성에 마침표를 찍지 못했습니다. 김종인 전 위원장 합류...
                    ", 2021.11.26
5,정치,"이재명, 호남 돌며 지지층 결집..'데이트폭력' 표현 사과",JTBC ,"
                        [앵커] 이재명 후보가 오늘(26일)부터 3박 4일 동안 호남을 돌며 지지층 결집에 나섭니다. 일정 중엔 자신이 변론을 맡았던 조카의 살인사건에 대해서 거듭 사과했습니...
                    ", 2021.11.26
6,정치,"이낙연, 이재명과 호남 동행 거부..어떻게 보나?ㅣ썰전 라이브",JTBC ,"
                        ■ 인용보도 시 프로그램명 'JTBC 썰전 라이브'를 밝혀주시기 바랍니다. 저작권은 JTBC에 있습니다.■ 방송 : JTBC 썰전 라이브 [앵커] 두 번째 주제는 < 호남 간 이재...
                    ", 2021.11.26
7,정치,"양당 선대위 본격 가동..송영길·이준석, 존재감 부각 전략은?",JTBC ,"
                        [앵커] 양당 선대위가 모두 닻을 올리고 본격적인 대선 행보에 돌입했죠. 후보가 전면에 나서면 당 대표들의 입지는 약해지기 마련인데요. 송영길·이준석 두 대표는 예...
                    ", 2021.11.26
8,정치,"김병준 ""열심히 하겠다""..김종인, '불참' 질문에 고개 '끄덕'",JTBC ,"
                        [앵커] 김종인 전 비대위원장이 '비토' 의견을 냈었죠. 국민의힘 김병준 상임선대위원장이 오늘(26일) 윤석열 후보를 만난 뒤, 기자들 앞에 섰습니다. 일부에선 자진사...
                    ", 2021.11.26
9,정치,"관심지수, 李 3주째 주말 질주..선대위 가동 尹 반격 나올까ㅣ빅데이터랩",JTBC ,"
                        주말을 앞두고 지지율 상위권의 주요 후보들 진영이 바쁘게 움직이고 있습니다. 더불어민주당 이재명 대선후보는 주말을 이용해 지방일정을 소화하고 있고 국민의힘 윤...
                    ", 2021.11.26
