,category,title,press,content,period
0,정치,"'머리색'까지 바꾼 이재명, 3박4일 호남 민심 다잡기..지지율 뒤집힐 가능성은",매일경제 ,"
                        최근 전면적 당 쇄신에 이어 '흑발'로 염색한 이재명 더불어민주당 대선 후보가 호남 민심 다지기에 들어갔다. 대선을 100여 일 남긴 시점에서 지지층을 결집해 지지율 ...
                    ", 2021.11.26
1,정치,29일 방역대책 문대통령 직접 발표..방역패스 적용 확대할 듯,매일경제 ,"
                        ◆ 코로나 병상 대란 ◆ 정부의 단계적 일상 회복이 불과 한 달도 안 돼 최대 위기를 맞은 가운데 문재인 대통령이 29일 특별방역점검회의를 소집해 대응책 마련에 나선...
                    ", 2021.11.26
2,정치,1주택자 양도세기준 12억으로..반년만에 여야 합의,매일경제 ,"
                        ◆ 주택시장 변곡점 ◆ 정치권이 정부의 반대에도 불구하고 1가구 1주택자에 대한 양도소득세 비과세 기준을 현행 9억원에서 12억원으로 확대하는 내용의 법안을 통과시...
                    ", 2021.11.26
3,정치,"호남 대장정 나선 이재명 ""전두환 후예들이 권력 탐해""",매일경제 ,"
                        이재명 더불어민주당 대선후보가 '민주당 텃밭'인 광주·전남 표심 결집을 위해 26일부터 4일간 1300㎞ 대장정에 나섰다. 이 후보는 호남이 보여준 인권·민주주의 가치...
                    ", 2021.11.26
4,정치,"'자리 사냥꾼' 의식했나..김병준 ""공직 일절 안해""",매일경제 ,"
                        국민의힘 선거대책위원회의 김병준 상임선대위원장이 자신의 사퇴설을 일축하고 26일 ""상임선대위원장직을 열심히 하겠다""고 밝혔다. 윤석열 국민의힘 대선후보와 김종...
                    ", 2021.11.26
5,정치,"文 '차별금지법' 공론화에..尹 ""개인의 자유 침해""",매일경제 ,"
                        윤석열 국민의힘 대선후보가 차별금지법에 대해 '사실상 반대'라고 밝히면서 26일 대선 후보들의 차별금지법 입장이 도마에 올랐다. 윤 후보의 차별금지법 언급은 전날 ...
                    ", 2021.11.26
6,정치,"이재명 ""조카 살인사건은 흉악범죄..데이트폭력이라는 말 죄송""",매일경제 ,"
                        이재명 더불어민주당 대선후보가 26일 이 후보 조카의 살인사건 피해자 가족에게 다시 사과했다. 이 후보는 페이스북을 통해 ""피해자 가족분들의 인터뷰 기사를 이제야 ...
                    ", 2021.11.26
7,정치,페북 사진으로 '親이재명' 감별?,매일경제 ,"
                        더불어민주당 의원들의 페이스북 프로필 커버 사진을 보면 이재명 대선후보와의 심리적 거리를 확인할 수 있다. 26일 민주당 의원들의 페이스북을 확인한 결과 이 후보 ...
                    ", 2021.11.26
8,정치,오늘의 레이더P 뉴스 (11월 27일),매일경제 ,"
                        ● [터무니찾기] 어리둥절 대선 여론조사, 이것만은 알고보자 [ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
                    ", 2021.11.26
9,정치,한 집안서 해군 부사관 6명 나왔다,매일경제 ,"
                        4남매에 그 배우자 2명까지…. 모두 6명의 해군 부사관이 한 집안에서 나와 화제다. 26일 해군은 이날 임관한 김다희 하사(24) 집안에 모두 6명의 해군 부사관이 복무하...
                    ", 2021.11.26
10,정치,윤광일 한국정당학회장 취임,매일경제 ,"
                        윤광일 숙명여대 정치외교학과 교수(사진)가 26일 한국정당학회 회장으로 취임했다. 윤 신임 회장은 이날 취임사를 통해 ""포스트 코로나 위기 시대에 대한민국의 운명을...
                    ", 2021.11.26
11,정치,"安, 대선 후보들에 청년정책 토론회 제안..주도권 잡기 나서",매일경제 ,"
                        지난주부터 청년층을 향한 정책을 연일 발표하며 이들의 표심을 공략했던 안철수 국민의당 대선후보가 26일 청년 정책 종합편을 발표하며 청년 관련 이슈 선점에 나섰다...
                    ", 2021.11.26
12,정치,국정원 1차장에 '대북통' 박선원,매일경제 ,"
                        문재인 대통령이 26일 국가정보원 제1차장에 '대북통'인 박선원 기획조정실장(58)을 발탁하는 등 차관급 수뇌부를 대거 교체했다. 2차장에 천세영 국정원 대공수사국장(...
                    ", 2021.11.26
13,정치,"윤석열 ""김병준 역할 조정 없어""..김종인 빼고 가나",매일경제 ,"
                        윤석열 국민의힘 대선후보와 김종인 전 비상대책위원장 간의 선대위 인선 갈등이 빚어진 가운데, 윤석열 국민의힘 대선 후보가 26일 김병준 공동상임선대위원장의 역할...
                    ", 2021.11.26
14,정치,"[정치실록]""감옥 안 가도 되겠네""..""주접 떨어놨다""",매일경제 ,"
                        11월 22일 1. ""경선 낙선하던 날 제 아내 첫 마디는 '이제 감옥 안 가도 되겠네요'였다"" (홍준표 국민의힘 의원, '청년의꿈' 청문홍답 게시판에서 '정치 선배·동료를 ...
                    ", 2021.11.26
15,정치,경찰 출동한 전두환 빈소..'광주폭동' 붓글씨에 극우세력 욕설 난무,매일경제 ,"
                        26일 오전 찾은 서울 신촌 세브란스 병원 장례식장 내 전두환 전 대통령 빈소. 발인을 하루 앞둔 이날에도 빈소 앞에는 몇몇 정치계 인사들과 극우세력, 보수 유투버들...
                    ", 2021.11.26
16,정치,"與, '호남 위기론' 두고 갑론을박..""목표는 득표율 90%""",매일경제 ,"
                        이재명 더불어민주당 대선 후보가 호남 민심 행보에 돌입한 가운데 최근 이 후보의 호남 지지율을 두고 당내서 갑론을박이 벌어지고 있다. 26일 정치권에 따르면 이재명...
                    ", 2021.11.26
17,정치,野윤석열에게서 'MB의 향기'가 나는 까닭은,매일경제 ,"
                        윤석열 국민의힘 대선후보가 이명박 전 대통령 당시 활약한 인사 다수를 불러모았다. 더불어민주당에선 '올드보이'들의 귀환이라고 비판한다. 정책이나 인사가 이 전 대...
                    ", 2021.11.26
