,category,title,press,content,period
0,정치,"홍준표, 국민의힘 총괄 역임 선 긋기..""내 역할 대선서 끝나""",이데일리 ,"
                        [이데일리 황효원 기자] 홍준표 국민의힘 의원이 윤석열 대선 후보의 선거대책위원회에 합류할 의사가 없음을 재차 강조했다. 홍준표 국민의힘 의원.(사진=국회사진기자...
                    ", 2021.11.26
1,정치,[포토] 동행복권-인터넷진흥원 업무협약,이데일리 ,"
                        [이데일리 김태형 기자] 복권수탁사업자 동행복권(대표 조형섭, 김세중)과 한국인터넷진흥원(KISA, 원장 이원태)이 25일 송파구 가락동에 위치한 한국인터넷진흥원에서 ...
                    ", 2021.11.26
2,정치,"[포토] 농협, '애그리테크 스타트업 상생지원식'",이데일리 ,"
                        [이데일리 김태형 기자] 농협경제지주 장철훈(뒷줄 왼쪽 세번째) 농업경제대표이사가 25일 농협 본관에서 열린 '애그리테크 스타트업 상생지원식'에서 최종선발된 5개 ...
                    ", 2021.11.26
3,정치,"[포토] 양천구, 신규 공무원 임용식",이데일리 ,"
                        [이데일리 김태형 기자] 김수영 양천구청장이 26일 양천구청 공감기획실에서 열린 ‘코로나19 업무 관련 행정직군 신규 임용식’에서 신규 공무원들이 선서를 하고 있다...
                    ", 2021.11.26
4,정치,"[포토] 영등포구, 참좋은 지방자치 정책대회",이데일리 ,"
                        [이데일리 김태형 기자] 채현일 영등포구청장이 26일 웨딩그룹 위더스 영등포에서 열린 ‘참좋은 지방자치 정책대회’에 참석해 정책 발표를 하고 있다. 채 구청장은 이...
                    ", 2021.11.26
5,정치,"이재명 ""'농촌 기본소득' 도입이 지역 균형발전의 핵심""",이데일리 ,"
                        [목포= 이데일리 이유림 기자] 이재명 더불어민주당 대선 후보가 26일 “지역 균형발전의 핵심은 ‘농촌 기본소득’의 도입일 수 있다”고 밝혔다. 이재명 더불어민주당...
                    ", 2021.11.26
6,정치,"尹 선대위, '딸 특혜채용' 김성태 사퇴 없다..""유죄 확정 안돼""",이데일리 ,"
                        [이데일리 이지은 기자] 윤석열 국민의힘 대선 후보 측이 26일 KT에 딸 채용을 청탁한 혐의로 재판을 받고 있는 김성태 전 위원이 선거대책위원회 직능총괄본부장으로 ...
                    ", 2021.11.26
7,정치,"이재명 부인 김혜경, 이번엔 김장나눔 행사서 봉사활동",이데일리 ,"
                        [이데일리 황효원 기자] 더불어민주당 이재명 대선 후보의 배우자 김혜경씨가 26일 서울 노원구 중계근린공원에서 열린 ‘2021년 노원교육복지재단 희망 나눔 김장 행사...
                    ", 2021.11.26
8,정치,"'원톱 김병준'에 김종인 ""나와 관계 없다. 묻지 말라""",이데일리 ,"
                        [이데일리 김영환 기자] 김종인 국민의힘 전 비상대책위원장이 당내 선대위가 ‘김병준 원톱’ 체제로 출범한 데 대해 “나하고 관계 없으니 묻지 말라”고 선을 그었다...
                    ", 2021.11.26
9,정치,"[포토] 농협, 사랑의 김장나눔",이데일리 ,"
                        [이데일리 김태형 기자] 이성희 농협중앙회장이 26일 서울 중구 농협본관에서 사랑의 김장김치 나눔행사에 참가해 김태흠 국회 농해수위원장, 정점식 의원 및 참석자들...
                    ", 2021.11.26
