,category,title,press,content,period
0,정치,"""김병준, 역할 조정은 없다""는 윤석열, 김종인과 '결별의 길'",경향신문 ,"
                        [경향신문] 이준석 “제 자리 비워드릴 생각”…선대위 ‘김병준 원톱 체제’로“총괄위원장직 거부하느냐” 질문에 김종인, 고개만 세 차례 ‘끄덕’ 윤석열 국민의힘 ...
                    ", 2021.11.26
1,정치,"""김종인에 최후통첩"" 흘려 갈등 뇌관이 된 '윤핵관'",경향신문 ,"
                        [경향신문] 당내 우려…이준석 “자제” 경고비대한 선대위·‘전언정치’ 논란 윤석열 국민의힘 대선 후보와 김종인 전 비상대책위원장의 갈등에 ‘윤 후보 측 핵심 관...
                    ", 2021.11.26
2,정치,윤 '한·일관계' 집중..문 정부 약점 공략,경향신문 ,"
                        [경향신문] 윤석열 국민의힘 대선 후보가 연이어 한·일관계 개선 메시지를 내놓고 있다. 문재인 정부에서 악화된 한·일관계를 외교 정책의 약점으로 보고, 반문재인 ...
                    ", 2021.11.26
3,정치,'대북업무 총괄' 국정원 1차장에 박선원,경향신문 ,"
                        [경향신문] 문재인 대통령은 26일 국가정보원 제1차장에 박선원 국가정보원 기획조정실장(58)을, 제2차장에 천세영 국정원 대공수사국장(54)을, 기조실장에 노은채 국정...
                    ", 2021.11.26
4,정치,'호남 동행' 요청에도 충청·경남 간 이낙연..'마이웨이' 벌써 한 달,경향신문 ,"
                        [경향신문] 선대위 상임고문 맡고서도 잠행“28일까지…오래전에 잡힌 일정”29일 ‘전 국민 선대위’ 땐 서울로측근 “지원 일절 논의된 바 없어” 더불어민주당이 이...
                    ", 2021.11.26
5,정치,"""호남 없인 민주당 없다"" 핵심 지지층 결집 나선 이재명",경향신문 ,"
                        [경향신문] 3박4일 호남행, 인적 쇄신 뒤 DJ 고향 목포서 첫 지역 일정 시작“발목 잡으면 잡은 손 차고 나갈 것” 개혁 강조·지지율 견인 노려 이재명 더불어민주당 ...
                    ", 2021.11.26
6,정치,"윤석열 ""차별금지법, 개인의 자유 침해""..사실일까[여의도앨리스]",경향신문 ,"
                        [경향신문] [여의도 앨리스]  “정치부 기자들이 전하는 당최 모를 이상한 국회와 정치권 이야기입니다.” 윤석열 국민의힘 대선 후보가 한 차별금지법(평등법) 관련 발...
                    ", 2021.11.26
7,정치,"""한일관계 악화, 현 정부 탓"" 연일 비판하는 윤석열",경향신문 ,"
                        [경향신문] 윤석열 국민의힘 대선 후보가 악화된 한일 관계를 두고 문재인 정부가 반일을 국내 정치에 이용했기 때문이라고 연일 발언하고 있다. 현 정부에서 악화된 한...
                    ", 2021.11.26
8,정치,"김부겸 총리 ""위드코로나 이전으로 '후퇴'는 어려워""",경향신문 ,"
                        [경향신문] 방역패스·추가접종 강화 초점미접종자 치료비 자부담 검토김부겸 국무총리가 26일 코로나19 확진자 증가로 단계적 일상회복(위드코로나)에 대한 ‘긴급 멈...
                    ", 2021.11.26
9,정치,윤석열과 김종인 잠정 결별..윤석열 '김병준 힘싣기'로 쐐기,경향신문 ,"
                        [경향신문] 윤석열 국민의힘 대선 후보와 김종인 전 비상대책위원장이 26일 잠정 결별했다. 윤 후보는 김종인 전 위원장이 비토했던 김병준 선대위 상임선대위원장(위원...
                    ", 2021.11.26
