,category,title,press,content,period
0,정치,"김장 봉사 간 김혜경.. 봉사자들, 뒤늦게 알아보고 사진 요청도",조선일보 ,"
                        더불어민주당 이재명 대선 후보의 배우자 김혜경씨가 26일 김장 봉사를 했다. 민주당 선대위는 이날 김씨가 서울 노원구 중계동에서 열린 김장 나눔 행사에서 봉사활동...
                    ", 2021.11.26
1,정치,車사고 부상자 돕다 숨진 '진주시 슈바이처' 이영곤 원장 의사자 인정,조선일보 ,"
                        교통사고 부상자를 돕다 세상을 떠난 내과 의사 고 이영곤(사고 당시 61세) 원장이 의사자(義死者)로 인정됐다. 보건복지부는 26일 ‘2021년 제4차 의사상자심사위원회...
                    ", 2021.11.26
2,정치,"이재명의 댓글읽기, 음주운전은 ""인정""..  '찢었다' 표현 유행엔?",조선일보 ,"
                        더불어민주당 이재명 대선 후보가 26일 유튜브 생방송에서 한 네티즌이 자신을 ‘음주운전 전과자, 잠재적 살인마’라고 지적하자 “정말 많은 분들이 의견을 내주시는...
                    ", 2021.11.26
3,정치,"목포 간 이재명 ""국민의힘이 정권 잡으면 복수혈전 할것""",조선일보 ,"
                        더불어민주당 이재명 대선 후보는 26일 나흘간의 호남 방문에 나섰다. 첫 행선지로 전남 목포를 찾아 “호남이 없으면 민주당도 없다”라고 했다. 그러면서 국민의힘을 ...
                    ", 2021.11.26
4,정치,"이대남은 국민의힘, 이대녀는 민주당.. '지지율 쏠림' 대선 영향은?",조선일보 ,"
                        한국갤럽이 26일 발표한 11월 조사 통합 자료에서 20대 남성은 국민의힘 지지율이 민주당보다 두 배 이상 높은 반면, 20대 여성은 더불어민주당 지지율이 국민의힘보다 ...
                    ", 2021.11.26
5,정치,"文정부는 ""청년 월세 20만원씩"", 송영길은 ""노령수당 100만원씩""",조선일보 ,"
                        정부와 여당이 내년 3월 9일 대통령 선거를 앞두고 청년과 노인 세대를 겨냥한 현금성 복지 사업을 잇달아 내걸고 있다. 정부가 청년층에게 월세를 대신 내주는 ‘청년 ...
                    ", 2021.11.26
6,정치,"이재명 ""데이트폭력 표현으로 상처 드려.. 사과드린다""",조선일보 ,"
                        이재명 더불어민주당 대선후보가 26일 전 여자친구를 흉기로 살해한 조카 김모씨의 범죄에 대해 재차 사과했다. 앞서 이 후보는 조카 김씨의 범죄를 ‘데이트폭력’이라...
                    ", 2021.11.26
7,정치,"이재명, '母女살인' 변론에 ""변호사라서 변호했다..안타까운 일""",조선일보 ,"
                        더불어민주당 이재명 대선후보가 26일 조카가 저지른 모녀 살인사건을 변론한 것과 관련해서 “(당시)변호사라서 변호했다”며 “안타까운 일”이라고 했다. 이날 전남 ...
                    ", 2021.11.26
8,정치,"송영길 ""월 100만원 노령수당, 대선 공약으로 적극 검토""",조선일보 ,"
                        송영길 더불어민주당 대표가 “월 100만원의 노령수당을 지급하는 정책을 대선 공약으로 적극 검토하겠다”고 말했다. 송 대표는 26일 서울 종로구 AW컨벤션센터에서 열...
                    ", 2021.11.26
9,정치,"이재명 측 ""윤석열, 취업비리범 김성태 중용..2030에 대한 도발""",조선일보 ,"
                        이재명 더불어민주당 대선후보 측은 윤석열 국민의힘 대선후보가 딸 특혜 채용으로 유죄 판결을 받은 김성태 전 의원을 직능총괄본부장으로 선임한 것에 대해 “즉각 사...
                    ", 2021.11.26
10,정치,"유엔사 ""백선엽 장군 탄생 101주년, 조국 위한 헌신 오래 기억""",조선일보 ,"
                        유엔군사령부가 고(故) 백선엽 장군의 101번째 생일인 지난 23일 고인을 향한 추모 메시지를 낸 것으로 26일 알려졌다. 국방부나 육군, 국가보훈처 등 한국의 유관 기관...
                    ", 2021.11.26
11,정치,"""방역대책 논의"" 文대통령, 29일 특별방역점검회의",조선일보 ,"
                        문재인 대통령이 오는 29일 청와대에서 ‘코로나 대응 특별방역점검회의’를 주재한다. 박경미 청와대 대변인은 26일 서면 브리핑에서 “이번 특별방역점검회의는 최근 ...
                    ", 2021.11.26
12,정치,"""이재명, 내 아내·딸 살해됐는데 '데이트폭력'이라니 뻔뻔"" 유족 분노",조선일보 ,"
                        이재명 더불어민주당 대선후보가 2006년 헤어진 여자친구와 어머니를 흉기로 37차례 찔러 숨지게 한 조카 김모씨의 범죄를 ‘데이트폭력’이라고 칭하며, 김씨를 변호했...
                    ", 2021.11.26
13,정치,"국정원 1차장 박선원 기조실장, 2차장은 천세영 대공수사국장",조선일보 ,"
                        문재인 대통령은 26일 국가정보원 1차장에 박선원(58) 국정원 기조실장, 2차장에는 천세영 국정원 대공수사국장(54)을 각각 내정했다고 박수현 청와대 국민소통수석이 ...
                    ", 2021.11.26
14,정치,"진중권 ""대표가 안티페미..尹‧李 지지율 다음달 역전될 듯""",조선일보 ,"
                        진중권 전 동양대 교수가 다음 달엔 윤석열 국민의힘 대선후보와 이재명 더불어민주당 대선후보의 지지율이 역전될 것이라고 전망했다. 진 전 교수는 26일 자신의 페이...
                    ", 2021.11.26
15,정치,"[KSOI] 윤석열 42%,이재명 39.8%..다자대결서 오차범위 내 접전",조선일보 ,"
                        윤석열 국민의힘 대선후보가 오차범위 내에서 이재명 더불어민주당 후보에 근소하게 우세한다는 여론조사 결과가 26일 나왔다. 한때 두 자릿수까지 벌어졌던 두 후보의 ...
                    ", 2021.11.26
16,정치,"김제동 ""저 싫어하죠?"" 되물었다.. 이준석의 질문 뭐였길래",조선일보 ,"
                        시사 라디오방송 진행 대타로 나선 방송인 김제동씨가 국민의힘 이준석 대표에게 직접 “나를 싫어하느냐”고 물어 화제를 모으고 있다. 윤석열 후보 선거대책위원회 구...
                    ", 2021.11.26
17,정치,"진보당 김재연 ""이재명, 칼로 37회 찌른 걸 '데이트 폭력'이라 하다니 참담""",조선일보 ,"
                        이재명 더불어민주당 대선후보가 16년 전 흉기로 헤어진 여자친구와 어머니를 37차례 찔러 숨지게 한 조카의 범죄를 ‘데이트폭력’이라고 칭하며, 조카를 변호했던 과...
                    ", 2021.11.26
18,정치,"임승호 ""이재명 태세전환, '쇼'라며 침뱉고 넘어가선 안 돼""",조선일보 ,"
                        국민의힘 임승호 대변인이 26일 “더불어민주당 이재명 대선후보의 ‘태세전환’을 무겁게 받아들여야 한다”고 했다. 그러면서 “우리는 이 후보의 이런 변화를 쇼라며...
                    ", 2021.11.26
19,정치,"김병준 ""선대위원장 열심히 하겠다.. 대선 후 선출직·임명직 안할 것""",조선일보 ,"
                        국민의힘 선거대책위원회 공동 상임 선대위원장을 맡은 김병준 전 자유한국당 비상대책위원장이 26일 “상임 선대위원장직을 열심히 할 생각”이라고 말했다. 김 위원장...
                    ", 2021.11.26
20,정치,"윤석열 ""文 정권 사고치고 매번 뒷감당 국민에 떠넘겨..탈문재인 해야""",조선일보 ,"
                        윤석열 국민의힘 대선후보는 탈원전에 따른 손실을 전력기금으로 보전하는 것에 대해 “문재인 정부의 무지가 부른 재앙을 왜 국민이 뒷감당해야 하나”라고 했다. 윤석...
                    ", 2021.11.26
21,정치,"진중권 ""이재명 굽신거리기만..뭘 사과하겠단 건지 모르겠다""",조선일보 ,"
                        더불어민주당 이재명 대선후보가 “민주당이 왜 국민의 신뢰를 잃었는지 제 자신부터 먼저 돌아보겠다”고 한 데 이어 사죄의 큰절을 올리는 등 국민에게 거듭 사과했다...
                    ", 2021.11.26
22,정치,"""내년 확진자 최악엔 8만~10만명.. 그래도 일상회복 2단계 가야""",조선일보 ,"
                        정재훈 가천대 예방의학과 교수는 26일 MBC 라디오 ‘김종배의 시선 집중’에서 “최상의 시나리오라고 하면 (코로나 신규 확진자가)1만명 미만 정도로 3년 정도 가게 ...
                    ", 2021.11.26
23,정치,"한 집안에 해군부사관만 6명..모친 ""사위·며느리도 군인이면 환영""",조선일보 ,"
                        “한 집안에서 배출한 해군부사관만 6명” 26일 해군에서는 김다희(24) 하사가 해군부사관으로 임관한 소식이 화제였다. 이날 김 하사가 집안에서 6번째로 해군 부사관...
                    ", 2021.11.26
24,정치,"호남서 이재명·이낙연 만날까..강훈식 ""부인하지 않겠다""",조선일보 ,"
                        더불어민주당 강훈식 전략기획위원장이 26일 이재명 대선후보의 호남일정에 이낙연 전 대표가 동행할 것인지에 대해 “부인하지 않겠다”고 했다. 이 후보와 이 전 대표...
                    ", 2021.11.26
25,정치,"與 재명학 열풍에..""후보가 민심 공부해야지, 국민이 李 공부하나"" 내부 비판",조선일보 ,"
                        더불어민주당 내에서 이른바 ‘재명학’ 열풍이 불고 있는 것과 관련 당 내부에서도 비판이 나왔다. 최근 민주당 의원들은 이재명 후보가 쓴 책들을 읽고 인증샷과 독후...
                    ", 2021.11.26
26,정치,"이준석 ""尹, 솔로몬 재판처럼 돼..김종인·김병준 중 선택해야""",조선일보 ,"
                        국민의힘 이준석 대표가 26일 선대위 구성문제와 관련해서 “윤석열 대선후보가 김종인, 김병준 전 위원장 양단 간 선택을 해야 한다”고 말했다. 이 대표는 이날 라디...
                    ", 2021.11.26
27,정치,"27세 野 대변인  ""尹선대위 올드보이 비판 아냐..비전‧컨셉 부족 지적""",조선일보 ,"
                        국민의힘 임승호(27) 대변인이 당의 대선 선거대책위원회를 꾸리기 위한 인선 과정에 대해 “주변에서 우왕좌왕하는 것 같다는 말을 많이 들었다”며 연일 비판에 나섰...
                    ", 2021.11.26
28,정치,코로나 신규 확진 3901명..위중증 617명으로 이틀 연속 역대 최다,조선일보 ,"
                        지난 25일 국내 코로나 신규 확진자 수는 3901명이라고 26일 중앙방역대책본부가 밝혔다. 이날 발생한 확진자 중 국내 지역발생은 3882명, 해외 유입 사례는 19명이다. ...
                    ", 2021.11.26
29,정치,"대선까지 100여일..이재명, 나흘간 이유있는 '호남행'",조선일보 ,"
                        더불어민주당 이재명 대선후보가 26일부터 나흘간 호남을 돌면서 민심공략에 나설 예정이다. 세 번째 매타버스(매주 타는 민생버스)일정이다. 이 후보의 ‘호남행’은 ...
                    ", 2021.11.26
30,정치,"홍준표, 본인 캠프 인사 李 지지 선언에 ""황당하지만 비난 못해""",조선일보 ,"
                        홍준표 국민의힘 의원은 대선경선 때 본인 캠프에서 활동했던 박창달 전 의원이 이재명 더불어민주당 대선후보 지지선언을 한 것에 대해 “황당하지만 비난할 수 없다”...
                    ", 2021.11.26
31,정치,"강성범 ""尹에 정권 넘겨주면 안돼..계엄령 다시 경험할 수도""",조선일보 ,"
                        친여 성향 개그맨 강성범이 윤석열 국민의힘 대선후보를 겨냥 “이번에 넘겨주면 그때(이명박 정권)보다 더 할 것이다. 그저께 영원히 사라지신 분(전두환 전 대통령)이...
                    ", 2021.11.26
32,정치,"윤석열 ""洪 2030인기, 귀엽고 화끈해서""..홍준표 ""버릇없다""",조선일보 ,"
                        홍준표 국민의힘 의원이 ‘홍 의원이 2030에게 인기 있는 이유는 귀엽고 화끈한 모습’이라는 윤석열 대선후보의 발언을 두고 불편한 심기를 드러냈다. 윤 후보는 25일 ...
                    ", 2021.11.26
33,정치,"李가 사과한 '조카 데이트폭력 변호', 모녀살인이었다",조선일보 ,"
                        더불어민주당 이재명 대선 후보가 지난 24일 “제 일가(一家) 중 1인이 과거 ‘데이트 폭력 중범죄’를 저질렀고, 그 가족들이 변호사를 선임할 형편이 못 돼 일가 중 ...
                    ", 2021.11.26
34,정치,"與, 핵심 요직에 이재명 사람들",조선일보 ,"
                        더불어민주당이 25일 당 사무총장과 전략기획위원장에 재선인 김영진·강훈식 의원을 각각 임명했다. 내년 대선 자금 관리와 선거 전략을 담당하는 당 핵심 요직이 이재...
                    ", 2021.11.26
35,정치,'BTS 병역특례법' 상임위 통과못했다,조선일보 ,"
                        국회 국방위원회는 25일 법안심사소위를 열고 국위를 선양한 대중문화예술인이 군 입대 대신 봉사 활동 등으로 병역을 대신할 수 있도록 하는 이른바 ‘방탄소년단(BTS)...
                    ", 2021.11.26
36,정치,"질병청 ""부스터샷 후 이상반응, 1·2차 접종보다 적어""",조선일보 ,"
                        코로나 백신 추가 접종(부스터샷) 후 이상 반응이 발생하는 비율이 기본 접종보다 낮은 것으로 나타났다고 질병관리청이 25일 밝혔다. 질병청에 따르면 이날 0시까지 약...
                    ", 2021.11.26
37,정치,"기본소득 비판 교수 與징계위 회부되자 ""與가 독재의 길로""",조선일보 ,"
                        더불어민주당 이재명 대선 후보의 ‘기본소득’ 공약을 비판해 온 이상이 제주대 교수가 민주당 윤리심판원에 징계 회부된 것으로 나타났다. 이 교수는 “‘이재명의 민...
                    ", 2021.11.26
38,정치,"소아·청소년 확진자 발생률, 성인 추월",조선일보 ,"
                        이틀 연속 4000명 안팎 코로나 확진자가 쏟아지면서 중환자가 612명으로 연일 역대 최다를 기록하고 있다. 수도권 코로나 중환자 병상은 83.9%까지 찼다. 특히 소아·청...
                    ", 2021.11.26
39,정치,"李 ""과거사, 일본 사과가 먼저"".. 尹 ""정치에 日문제 이용않겠다""",조선일보 ,"
                        더불어민주당 이재명 대선 후보가 25일 한일 관계와 관련해 “과거사·영토 문제와 사회·경제 문제를 분리하는 투 트랙 접근으로 미래지향적 관계를 만들겠다”고 했다...
                    ", 2021.11.26
40,정치,"與는 기후변화 전문가, 野는 힙합축제 제작자.. 젊은 새 인물 찾기 주력",조선일보 ,"
                        더불어민주당과 국민의힘이 대선 선거대책위원회에 영입할 젊은 새 인물 찾기 경쟁을 벌이고 있다. 2030세대의 지지가 아직 양당의 어느 후보에게도 쏠리지 않은 만큼 ...
                    ", 2021.11.26
41,정치,"野, 여성 4인방을 전면 배치",조선일보 ,"
                        국민의힘 윤석열 대선 후보가 25일 대선 선거대책위원회 대변인과 공보단장에 김은혜·전주혜·조수진 의원을 배치했다. 윤 후보가 직접 위원장을 맡은 ‘약자와의 동행...
                    ", 2021.11.26
42,정치,"인권위 20주년 참석 文대통령, 性추행 극단선택 女중사 부모 만나",조선일보 ,"
                        문재인 대통령이 25일 서울 중구 명동성당 문화관 꼬스트홀에서 열린 국가인권위원회 설립 20주년 기념식에 참석했다. 문 대통령은 행사를 마치고 나오다 행사장 앞에서...
                    ", 2021.11.26
43,정치,"정부, '개 식용 종식' 사회적 합의안 도출하기로",조선일보 ,"
                        김부겸 국무총리는 25일 개 식용 문제와 관련, “민간이 중심이 되는 민관 합동 논의 기구를 구성해 사회적 합의안을 도출하겠다”고 말했다. 김 총리는 이날 국정현안...
                    ", 2021.11.26
44,정치,[카페 2030] 느그가 프로가!,조선일보 ,"
                        뱅크런(Bank-run)은 은행이 곧 망할 위기라는 최악의 징후다. 최근 IBK 기업은행 여자프로배구단에서 두 명이 ‘런’했다. 런한 인물은 주전 세터 조송화와 김사니 코치...
                    ", 2021.11.26
45,정치,"홍준표 캠프 출신 박창달 前의원, 이재명 지지 선언",조선일보 ,"
                        박창달(75) 전 한나라당 의원이 25일 더불어민주당 이재명 대선 후보 지지를 선언했다. 15·16대 국회 때 전국구 의원을 거쳐 17대 때 대구 동구을 의원을 지낸 박 전 ...
                    ", 2021.11.26
46,정치,"집값 폭등에.. 정은보 금감원장, 文정부 들어 재산 24억 늘었다",조선일보 ,"
                        정은보 금융감독원장의 재산이 문재인 정부 들어 24억원가량 늘어난 것으로 나타났다. 부동산 시세 상승이 주된 이유였다. 25일 정부 공직자윤리위원회가 공개한 재산 ...
                    ", 2021.11.26
47,정치,"소아·청소년 확진 발생률, 성인 추월했다",조선일보 ,"
                        이틀 연속 4000명 안팎 코로나 확진자가 쏟아지면서 중환자가 612명으로 연일 역대 최다를 기록하고 있다. 수도권 코로나 중환자 병상은 83.9%까지 찼다. 특히 소아·청...
                    ", 2021.11.25
48,정치,"이재명 ""바이든·김정은 만나 풀겠다, 트럼프 빅딜은 낭만적 시도""",조선일보 ,"
                        더불어민주당 이재명 대선 후보는 25일 미·중 관계와 관련해 “우리가 선택을 강요당할 것이 아니라, 선택할 수 있는 상황을 끊임없이 만들어 나가는 것이 외교의 방향...
                    ", 2021.11.25
49,정치,"서울대생 ""측근비리 터진다면?"" 윤석열 ""現정권처럼 안하면 돼""",조선일보 ,"
                        국민의힘 윤석열 대선 후보가 25일 모교인 서울대를 찾았다. 윤 후보는 이날 대학생들에게 “협치를 하기 위해선 자주 만나야 한다”며 “제가 대통령이 되면 반대 철학...
                    ", 2021.11.25
50,정치,"윤석열, '댓글수사 악연' 김용판에 ""미안하다""..金 ""고맙다""",조선일보 ,"
                        국민의힘 윤석열 대선후보가 25일 과거 국정원 댓글사건으로 악연이 있는 김용판 의원에게 “미안하다”고 사과한 것으로 알려졌다. 윤 후보는 이날 김 의원을 비롯, 국...
                    ", 2021.11.25
51,정치,"전두환 빈소 찾은 손학규 ""용서 구하고, 용서하는 통합으로 나아가길""",조선일보 ,"
                        손학규 전 바른미래당 대표가 25일 고(故) 전두환 전 대통령의 빈소를 찾아 “전 전 대통령이 5·18 책임을 지고 반성과 사과를 했으면 하는 마음이 있었다. (비록) 돌...
                    ", 2021.11.25
52,정치,결론 못 내린 코로나 비상 계획.. 오늘 대책 발표 안한다,조선일보 ,"
                        보건복지부가 26일로 계획했던 비상 계획(서킷 브레이커)을 포함한 코로나 대책 발표를 25일 오후 연기했다. 중앙사고수습본부는 “(25일 진행한) 일상회복지원위원회 ...
                    ", 2021.11.25
53,정치,"""정신질환 감형에 분노한다""던 이재명, 조카 살인엔 ""심신미약"" 변론",조선일보 ,"
                        더불어민주당 이재명 대선후보가 16년 전 조카의 스토킹 살인사건을 변호한 데 대해 사과했다. “데이트 폭력”이란 표현을 썼다. 당시 재판에서 그는 조카의 ‘심신미...
                    ", 2021.11.25
54,정치,"'홍준표 캠프' 출신 박창달 前 의원, 이재명 지지 선언",조선일보 ,"
                        15~17대 한나라당 국회의원을 지낸 보수 원로 박창달 전 의원이 25일 더불어민주당 이재명 대선 후보 지지를 선언했다. 선대위를 개편하며 쇄신 행보에 박차를 가하고 ...
                    ", 2021.11.25
55,정치,"金총리 ""보릿고개 걱정하다 선진국 반열에.. 한국, 개발협력 책임 있어""",조선일보 ,"
                        김부겸 국무총리는 25일 “개발협력의 국제적 책임이 우리에게 있다”고 말했다. 김 총리는 이날 열린 2021 개발협력의 날 기념식에서 “(6·25) 전쟁이 끝난 직후 가난...
                    ", 2021.11.25
56,정치,"노태우 아들, 전두환 빈소 조문.. 공과 질문엔 ""내가 언급할 일 아냐""",조선일보 ,"
                        고(故) 노태우 전 대통령의 아들인 노재헌 변호사가 25일 고(故) 전두환 전 대통령의 빈소를 찾아 조문했다. 노 변호사는 전 전 대통령의 공과(功過)를 묻는 질문에는 ...
                    ", 2021.11.25
57,정치,"與우원식·조정식·박홍근 선대위직 사퇴.. 이재명 ""더 크게 함께하자""",조선일보 ,"
                        더불어민주당 우원식 공동선대위원장과 조정식 상임총괄본부장, 박홍근 비서실장이 25일 선대위 당직을 내려놨다. 조정식 의원은 이날 오후 여의도 당사에서 기자회견을...
                    ", 2021.11.25
58,정치,"태영호 ""北, 이재명·윤석열 싸잡아 비난한 건 분산투자 개념""",조선일보 ,"
                        북한 외교관 출신인 국민의힘 태영호 의원이 최근 북한이 더불어민주당 이재명 대선후보를 야당 후보 등과 함께 싸잡아 비난한 데 대해 “일종의 분산투자 개념”이라고...
                    ", 2021.11.25
59,정치,"이재명 측 ""윤석열, 'KT 딸 특혜 채용' 김성태 선임은 청년 우롱""",조선일보 ,"
                        이재명 더불어민주당 대선후보 측은 윤석열 국민의힘 대선후보가 딸 특혜 채용으로 유죄 판결을 받은 김성태 전 의원을 직능총괄본부장으로 선임한 것에 대해 “청년을 ...
                    ", 2021.11.25
60,정치,"조수진, 이재명 향해 ""포르노 배우가 순정파 배우로 둔갑""",조선일보 ,"
                        조수진 국민의힘 최고위원은 최근 이재명 더불어민주당 대선후보가 자신과 관련한 논란에 대해 사과한 것에 대해 “포르노 배우가 순정파 배우로 둔갑하려는 것”이라고...
                    ", 2021.11.25
61,정치,"백발→흑발 변신하고 캐주얼 입은 이재명..""김혜경씨 코디 감각 좋아""",조선일보 ,"
                        이재명 더불어민주당 대선후보가 흑발로 변신해 이미지 쇄신에 나섰다. 이 후보는 코로나 사태 이후 최근까지 백발에 가까운 회색빛 헤어스타일을 유지해왔다. 이 후보...
                    ", 2021.11.25
62,정치,"BTS 병역특례 논의에.. 국방부 ""대상 확대 어렵다"" 사실상 반대",조선일보 ,"
                        국방부는 그룹 방탄소년단(BTS) 등 국위 선양에 기여한 대중문화예술인에게 병역특례(대체복무)를 허용하는 방안에 사실상 반대 입장을 밝혔다. 부승한 국방부 대변인은...
                    ", 2021.11.25
63,정치,"[단독] 수도권 가스 공급 중추 인천 기지, 25cm 사제 드론에 뚫렸다",조선일보 ,"
                        수도권 가스 공급 중추 기지인 한국가스공사 인천기지본부에서 비행 허가를 받지 않은 드론이 발견돼 당국이 조사에 나섰다. 국가 중요 시설의 드론 보안에 구멍이 뚫렸...
                    ", 2021.11.25
64,정치,"文대통령 ""차별금지법, 반드시 넘어야 할 과제""",조선일보 ,"
                        문재인 대통령이 25일 국가인권위원회 출범 20주년을 맞아 “차별금지법은 우리가 인권 선진국이 되기 위해서 반드시 넘어서야 할 과제”라고 말했다. 차별금지법은 정...
                    ", 2021.11.25
65,정치,"태영호 ""文정부 종전선언, 차기 정부에 큰 부담..철회해야""",조선일보 ,"
                        태영호 국민의힘 의원은 문재인 정부가 추진 중인 종전선언을 놓고 “차기 정부에 부담을 주는 외교안보 문제”라며 철회해야 한다고 주장했다. 태 의원은 25일 페이스...
                    ", 2021.11.25
66,정치,"김종인, '尹 최후통첩' 보도에 ""주접 떨어놨던데..밖에서 돕겠단 적 없어""",조선일보 ,"
                        김종인 전 국민의힘 비상대책위원장은 윤석열 대선후보 측이 김 전 위원장에게 ‘조건 없는 합류 선언이 없으면 끝’이라는 최후통첩을 했다는 보도에 대해 “주접을 떨...
                    ", 2021.11.25
67,정치,"정청래, 불교계에 '봉이 김선달' 발언 사과.. 조계종은 ""찾아오지마""",조선일보 ,"
                        더불어민주당 정청래 의원이 25일 국립공원 내 문화재 관람료 문제를 제기하며 해인사 ‘봉이 김선달’에 빗댄 데 대해 뒤늦게 공식 사과했다. 정 의원은 지난달 5일 국...
                    ", 2021.11.25
68,정치,"강용석 ""이재명‧김종인‧양정철‧금태섭 회동설""..琴 ""전혀 사실 아니다""",조선일보 ,"
                        금태섭 전 더불어민주당 의원은 강용석 변호사가 주장한 ‘이재명‧김종인‧양정철‧금태섭 회동설’에 대해 “사실이 아니다”라고 일축했다. 금 전 의원은 25일 자신...
                    ", 2021.11.25
