,category,title,press,content,period
0,정치,"'음주운전 살인마' 댓글에 빵터진 李 ""나 보고 한소리..인정""",중앙일보 ,"
                        이재명 더불어민주당 대선후보가 26일 '음주운전 전과자, 잠재적 살인마'라는 한 네티즌의 댓글을 보고 ""나 보고 한 소리인데요""라며 ""어쨌든 제가 잘못한거니까요""라고...
                    ", 2021.11.26
1,정치,"호남 달려갔었던 김혜경, 이번엔 김장나눔 행사서 봉사활동",중앙일보 ,"
                        더불어민주당 이재명 대선 후보의 배우자 김혜경씨가 26일 김장 봉사활동을 했다. 민주당 선대위는 이날 김씨가 서울 노원구 중계동에서 열린 김장 나눔 행사에서 봉사...
                    ", 2021.11.26
2,정치,尹선대위 사실상 '김병준 원톱'..그런데 또다른 뇌관 불거졌다,중앙일보 ,"
                        국민의힘 선거대책위원회 공동상임위원장으로 선임된 김병준 자유한국당(국민의힘 전신) 전 비대위원장은 최근 정치권에서 가장 논쟁적인 인물이었다. 총괄선대위원장 ...
                    ", 2021.11.26
3,정치,"""국민의힘은 전두환 후예..발목잡으면 차고 간다"" 호남간 李",중앙일보 ,"
                        “호남이 없으면 민주당도 없다. 호남이 없으면 이 나라 민주주의와 개혁과 미래도 없다.” 이재명 더불어민주당 대선후보가 26일 전남 목포 동부시장 연설에서 한 말이...
                    ", 2021.11.26
4,정치,"흑발 이재명 올백 윤석열, 선명한 파랑·빨강색 벗어던진 이유",중앙일보 ,"
                        ‘냉철한 머리와 따뜻한 가슴(Cool heads but warm hearts).’ 최근 여야 대선 후보 2인의 이미지 전략은 영국 경제학자 알프레드 마셜의 이 명언으로 요약된다. 이재명...
                    ", 2021.11.26
5,정치,野서 올드보이·김성태 선대위 뜨자 이재명 2030 공세 강화,중앙일보 ,"
                        당 선대위 쇄신에 착수한 이재명 더불어민주당 대선 후보가 청년층을 선거 운동 전면에 내세우고 있다. 아직 지지 후보를 정하지 못한 비율이 30~40%에 달하는 2030 민...
                    ", 2021.11.26
6,정치,"'실세 박선원' 국정원 1차장 전진배치..""남북 관계 돌파구 마련""",중앙일보 ,"
                        문재인 대통령은 26일 국가정보원 제1차장에 박선원(58) 국정원 기획조정실장을, 제2차장에 천세영(54) 국정원 대공수사국장을, 기조실장에는 노은채(56) 국정원 외교안...
                    ", 2021.11.26
7,정치,"정권교체론 못 미치는 尹지지율..""스트라이커 골결정력 문제""",중앙일보 ,"
                        흔히 당락을 가르는 선거의 3요소로 인물·구도·바람을 꼽는다. 축구 경기에서 리그 최고 라인업(인물)을 보유한 팀이 부상자가 많은 팀(구도)을 상대로 압도적 응원(...
                    ", 2021.11.26
8,정치,"'독도 보복팀'까지 둔 日, 외교장관 통화도 패싱..기시다 본색",중앙일보 ,"
                        기시다 후미오(岸田文雄) 일본 총리 취임 이후 한·일 현안을 두고 일본의 태도가 점차 거세지고 있다. 강제징용 피해 등 과거사 문제와 관련 일방적으로 ‘한국의 선제...
                    ", 2021.11.26
9,정치,핵심 진용 드러낸 尹선대위 심장부..'강·법·사'가 꿰찼다,중앙일보 ,"
                        “윤석열 선대위의 핵심 요직은 ‘강ㆍ법ㆍ사’가 차지했다.” 26일까지 확정된 국민의힘 중앙선거대책위 주요 인선안을 본 영남지역 중진 의원의 평가다. 이 중진 의원...
                    ", 2021.11.26
10,정치,"유족 인터뷰 본 이재명 ""평생 갚아나가는 마음으로..진심 사과""",중앙일보 ,"
                        이재명 더불어민주당 대선후보가 26일 조카의 모녀 살인사건을 변론한 이력에 대해 공식 사과했다. 이 후보는 이날 오후 페이스북을 통해 ""다시 한번 피해자 가족들께 ...
                    ", 2021.11.26
11,정치,"문 대통령, 29일 코로나19 대응 특별방역점검 회의 주재",중앙일보 ,"
                        문재인 대통령이 오는 29일 청와대에서 코로나19 대응 특별방역점검 회의를 주재한다고 청와대 박경미 대변인이 26일 서면 브리핑을 통해 밝혔다. 박 대변인은 ""이번 특...
                    ", 2021.11.26
12,정치,"진중권 ""안티페미 대표에 패전투수..尹지지율 내달 역전될듯""",중앙일보 ,"
                        진중권 전 동양대 교수는 윤석열 국민의힘 대선후보가 꾸린 선거대책위원회를 두고 “다음달엔 지지율 역전될 듯”이라고 말했다. 진 전 교수는 26일 자신의 페이스북을...
                    ", 2021.11.26
13,정치,"김어준 ""日 확진자 급감, 韓진단키트 없어 변이 검출 못한 것""",중앙일보 ,"
                        방송인 김어준씨가 일본에서 코로나19 확진자가 급감한 것에 대해 ""일본은 우리나라 진단키트를 수입하지 않는 거의 유일한 국가""라며 ""일본에 있는 진단키트로는 검사...
                    ", 2021.11.26
14,정치,[속보]국정원 1차장에 盧정부 '외교 실세' 박선원..2차장 천세영,중앙일보 ,"
                        문재인 대통령이 국가정보원(국정원) 제1차장에 노무현 정부 시절 외교·안보 실세였던 박선원 국정원 기획조정실장을 내정했다. 제2차장에는 천세영 국정원 대공수사국...
                    ", 2021.11.26
15,정치,윤석열 42.0% vs 이재명 39.8% 오차범위 내 '초접전' [KSOI],중앙일보 ,"
                        2022년 대선을 앞두고 윤석열 국민의힘 대선 후보와 이재명 더불어민주당 대선 후보가 오차범위 내 접전 양상을 벌이고 있다는 여론조사 결과가 26일 공개됐다. 한국사...
                    ", 2021.11.26
16,정치,"호남 향하는 이재명 ""국민의힘, 전두환의 후예""",중앙일보 ,"
                        호남 방문 일정을 소화 중인 이재명 더불어민주당 대선 후보가 26일 국민의힘을 '전두환의 후예'로 표현했다. 매타버스(매주 타는 민생버스)를 타고 3박4일 일정으로 호...
                    ", 2021.11.26
17,정치,"이준석 ""최후통첩 '주접' 떤 尹측근 누군지 안다, 적당히 하라""",중앙일보 ,"
                        이준석 국민의힘 대표는 26일 김종인 전 비대위원장에게 ‘조건 없는 합류 선언이 없으면 끝’이라는 최후통첩을 했다는 언론 보도 논란과 관련 윤석열 후보의 익명 인...
                    ", 2021.11.26
18,정치,"영변 핵활동 재개에 美 성명 ""北 도발 멈추고 북미협상 해야""",중앙일보 ,"
                        북한이 영변 핵시설에서 핵무기 제조와 관련한 5메가와트(㎿e) 원자로를 가동하는 등 핵 개발 활동을 재개한 것에 대해 미국이 규탄 성명을 냈다. 오스트리아 빈에서 국...
                    ", 2021.11.26
19,정치,"이낙연측, 이재명 호남 일정 동행설에 ""논의된 바 없다""",중앙일보 ,"
                        이낙연 전 더불어민주당 대표 측은 26일 이재명 민주당 대선 후보의 호남 일정 동행설에 대해 “호남 방문 계획은 전혀 없으며, 관련해서 실무선에서도 일절 논의된 바...
                    ", 2021.11.26
20,정치,與 오르고 野 하락해 격차 10→2%p..李 주도 당 개편 효과? [한국갤럽],중앙일보 ,"
                        10% 포인트까지 벌어졌던 국민의힘과 더불어민주당의 지지율 격차가 1주일 만에 2% 포인트 차로 줄었다는 여론조사 결과가 나왔다. 한국갤럽이 23~25일 실시해 26일 공...
                    ", 2021.11.26
21,정치,"김종인 거취에 말아낀 김병준 ""대선 후 일체 공직 안맡는다""",중앙일보 ,"
                        김병준 국민의힘 선거대책위원회(선대위) 상임위원장이 김종인 전 비대위원장의 거취에 말을 아끼면서도 “제가 가진 모든 걸 이번 선거에 다 쏟아부을 예정”이라고 입...
                    ", 2021.11.26
22,정치,"이재명 지지한 洪캠프 인사..홍준표 ""황당한데 비난 못한다""",중앙일보 ,"
                        홍준표 국민의힘 의원은 대선경선 때 본인 캠프에서 활동했던 박창달 전 의원이 이재명 더불어민주당 대선후보 지지선언을 한 것에 대해 “황당하지만 비난할 수 없다”...
                    ", 2021.11.26
23,정치,"김제동 ""저 싫어하죠?"" 대놓고 묻자, 이준석의 반전 답변",중앙일보 ,"
                        대표적 친여(親與) 성향의 방송인 김제동(사진 왼쪽)과 이준석 국민의힘 대표가 라디오에서 만났다. 김 씨가 진행 중 이 대표에게 ""저 싫어하죠?""라고 묻자 이 대표는 ""...
                    ", 2021.11.26
24,정치,"[속보] 김병준 ""선대위원장 열심히 하겠다..선출직·임명직 안한다""",중앙일보 ,"
                        국민의힘 선대위 공동 상임선대위원장을 맡은 김병준 전 비상대책위원장은 26일 “상임선대위원장 직을 열심히 할 생각”이라고 말했다. 김 상임선대위원장은 이날 여의...
                    ", 2021.11.26
25,정치,"尹 ""文정부 무지가 부른 탈원전 재앙, 왜 국민이 뒷감당하나""",중앙일보 ,"
                        국민의힘 윤석열 대선 후보는 정부가 탈원전에 따른 손실을 전력기금으로 보전해주기로 한 데 대해, “문재인 정부의 무지가 부른 재앙의 뒷감당을 왜 국민이 해야 하느...
                    ", 2021.11.26
26,정치,"강성범 ""尹 이기면 계엄령 또 경험할수도..MB때 봤지않나""",중앙일보 ,"
                        친여 성향의 정치색을 드러내며 유튜브 방송을 진행 중인 개그맨 강성범(사진)이 25일 오는 대통령 선거에서 국민의힘이 정권을 잡을 경우 계엄령을 다시 경험하게 될 ...
                    ", 2021.11.26
27,정치,"尹 ""홍준표 2030 인기 이유? 귀엽고 화끈""..洪이 남긴 한마디",중앙일보 ,"
                        윤석열 국민의힘 대선 후보가 경선 경쟁자였던 홍준표 의원이 2030 세대에게 인기를 얻었던 이유로 “귀엽고 화끈한 모습”을 꼽자 26일 홍 의원은 “버릇없다”라고 말...
                    ", 2021.11.26
28,정치,"尹·金 20일째 기싸움, 결국 '김' 빠진 선대위..""국민 짜증 유발""",중앙일보 ,"
                        대선을 목전에 둔 103석 야당이 20일째 헛돌고 있다. 지난 5일 윤석열 국민의힘 대선후보가 선출된 뒤 윤 후보와 김종인 전 비상대책위원장이 선거대책위원회 구성을 놓...
                    ", 2021.11.26
29,정치,"""윤석열, 삐삐삐-"" 효과음 범벅된 김어준의 '대선후보 심리분석'",중앙일보 ,"
                        “노트르담 꼽추 소설에 클로드 부주교가 있습니다. 에스메랄다를 보고 폭주하죠.” (김태형 심리연구소장)      “소장님! 삐이이이-! 으하하하.” (방송인 김어준씨) ...
                    ", 2021.11.26
30,정치,[단독] 외교부-산업부 싸우느라? 경제안보 격전지 7개월 비워둔 정부,중앙일보 ,"
                        미ㆍ중 공급망 갈등 등의 여파로 경제안보가 국제적 화두로 떠오른 가운데 정부의 경제통상 업무에 구멍이 뚫린 채 방치되고 있다. 세계무역기구(WTO) 등 다자 경제통상...
                    ", 2021.11.26
31,정치,'집밥 내조' 하며 공개활동 준비 중인 윤석열 부인 김건희,중앙일보 ,"
                        대선판이 벌어지면 으레 후보 부인, 그러니까 ‘예비 영부인’에 대한 관심이 쏠리게 마련이다. 캐릭터의 선이 굵게 마련인 대선 후보가 미처 못 챙기는 부분을 어떻게 ...
                    ", 2021.11.26
32,정치,"나찰수와 재명공자 ""호랑이 초패왕보다 늑대의 왕 유방을 배우리라""[이정재의 대권무림 2부②]",중앙일보 ,"
                        이정재의 정치풍자 무협판타지 대권무림 〈2부 제 2화〉 파부침주(破釜沈舟) 지면 죽는다, 돌아갈 배는 없다. 호랑이와 사자의 시대는 갔다. 대중검자와 공삼거사, 종필...
                    ", 2021.11.26
33,정치,윤석열 43.8% vs 이재명 39.6%..오차범위 내 접전 [미디어리서치],중앙일보 ,"
                        차기 대선주자 지지도 조사에서 이재명 더불어민주당 대선후보와 윤석열 국민의힘 대선후보가 오차범위 내 접전을 벌이고 있다는 여론조사 결과가 25일 나왔다. 미디어...
                    ", 2021.11.26
34,정치,"이재명, 5·18 증인 故이광영씨 빈소 심야조문 ""가슴 아프다""",중앙일보 ,"
                        이재명 더불어민주당 대선후보가 25일 5·18 당시 헬기사격 증인인 고(故) 이광영씨의 빈소를 찾아 조문했다. 당초 26일부터 광주·전남·전북 순회 일정을 시작하기로 ...
                    ", 2021.11.26
35,정치,"영변 원자로 건물서 증기 배출..IAEA ""가동 징후 계속되고 있다""",중앙일보 ,"
                        정부가 미국을 상대로 종전선언 설득을 계속하는 가운데 북한이 영변 핵시설에서 핵무기 제조와 관련된 5메가와트(㎿e) 원자로를 가동 중인 정황이 포착됐다. 미국의 북...
                    ", 2021.11.26
36,정치,윤석열 '일하는 선대위'..본부장급에 원희룡·주호영 등 6명,중앙일보 ,"
                        윤석열 국민의힘 대선후보는 25일 김종인 전 국민의힘 비상대책위원장이 맡을 ‘원톱’ 총괄선대위원장직을 비워둔 채 중앙선대위 핵심 실무 인선을 발표했다. 김 전 위...
                    ", 2021.11.26
37,정치,"검게 염색한 이재명, 당 사무총장·전략위원장 세대교체",중앙일보 ,"
                        더불어민주당은 25일 오전 신임 사무총장에 ‘이재명 직계’ 김영진 의원을, 전략기획위원장엔 ‘무당파’ 강훈식 의원을 각각 임명했다. 임명권자는 송영길 대표지만 ...
                    ", 2021.11.26
38,정치,"이재명, 모녀 살인혐의 조카 변호한 것 사과 ""데이트폭력은 중범죄""",중앙일보 ,"
                        이재명 더불어민주당 대선후보가 각종 사안에 대해 일주일 넘게 사과하고 있다. 지난 24일엔 조카 살인사건 변론을 사과했다. 이 후보는 이날 “일가 중 1인이 과거 데...
                    ", 2021.11.26
39,정치,"'석열이형' 尹 ""측근비리 처리? 文정부처럼만 안 하면 돼""",중앙일보 ,"
                        윤석열 국민의힘 대선후보는 25일 “대통령 측근 등 권력형 비리 사정 업무를 해봤는데 현 정권 말고 다른 정권이 한 것처럼 하면 된다”며 말했다. 윤 후보는 이날 오...
                    ", 2021.11.25
40,정치,"홍준표 ""정당 구분 모호해져 가는 대선 판..정권 '교대' 하잔 건가""",중앙일보 ,"
                        홍준표 국민의힘 의원이 “정당의 구분히 모호해져 가는 대선 판”이라며 윤석열 국민의힘 대선 후보와 이재명 더불어민주당 대선 후보 양측의 인선(人選)을 겨냥하는 ...
                    ", 2021.11.25
41,정치,"尹, 김용판에 ""미안하다""..'국정원 댓글수사' 묵은 감정 털었다",중앙일보 ,"
                        윤석열 국민의힘 대선후보는 25일 과거 국정원 댓글사건으로 악연이 있는 김용판 국민의힘 의원에게 “미안하다”고 사과한 것으로 알려졌다. 윤 후보는 이날 당내 부산...
                    ", 2021.11.25
42,정치,김무성 '가짜 수산업자 렌터카 수수' 혐의로 11시간 경찰 조사,중앙일보 ,"
                        100억원대 사기 혐의로 구속된 '가짜 수산업자' 김모씨로부터 외제 렌터카를 제공받은 혐의를 받는 김무성 전 미래통합당 (현 국민의힘) 의원이 25일 경찰 조사를 받았...
                    ", 2021.11.25
43,정치,"안철수 ""손흥민은 되는데 BTS는?..대중문화 예외는 역차별""",중앙일보 ,"
                        안철수 국민의당 대선후보는 25일 “방탄소년단(BTS)이 예술·체육요원으로 대체 복무할 자격이 충분하다”고 주장했다. 안 후보는 이날 자신의 페이스북에서 “기존 예...
                    ", 2021.11.25
44,정치,"""정체성 잃었다"" 국민의힘 탈당한 박창달, 이재명 지지 선언",중앙일보 ,"
                        최근 국민의힘을 탈당한 박창달 전 의원이 25일 더불어민주당 이재명 대선 후보 지지를 선언했다. 박 전 의원은 지난 19일 “정권 교체를 핑계로 당이 정체성마저 잃었...
                    ", 2021.11.25
45,정치,"""시간은 야당편 아냐""vs ""연내 처리 불가""..언론중재법 또 대치",중앙일보 ,"
                        국회 언론·미디어 제도개선 특별위원회(언론특위)가 25일 언론중재법 개정안에 대한 재논의를 시작했지만, 여·야 입장차는 여전했다. 언론특위는 9월 민주당이 언론중...
                    ", 2021.11.25
46,정치,"민주당 우원식·조정식·박홍근, 선대위직 사퇴..""현장 가겠다""",중앙일보 ,"
                        더불어민주당 우원식 공동선대위원장과 조정식 상임총괄본부장, 박홍근 비서실장이 선거대책위원회 직에서 사퇴하겠다고 밝혔다. 조 본부장은 25일 오후 여의도 당사에...
                    ", 2021.11.25
47,정치,"이재명 ""대일 강경?그건 오해..난 한마디로 실용외교주의자""",중앙일보 ,"
                        반성과 쇄신을 연일 강조하고 있는 이재명 더불어민주당 대선 후보가 25일 외교·안보 정책 분야에서의 ‘실용 노선’을 제시했다.  25일 서울 프레스센터에서 열린 외...
                    ", 2021.11.25
48,정치,전두환 3남 재만씨 빈소 도착..삼형제 나란히 조문객 맞아,중앙일보 ,"
                        전두환 전 대통령의 장례식 셋째 날인 25일 미국에서 귀국한 삼남 재만씨가 빈소에 도착했다. 미국에 거주 중인 재만씨는 이날 오후 2시40분쯤 배우자 이윤혜씨, 자녀 3...
                    ", 2021.11.25
49,정치,"금태섭 ""김종인·이재명 만남 주선? 사실무근..강용석 황당주장""",중앙일보 ,"
                        금태섭 전 의원이 자신이 이재명 더불어민주당 대선 후보와 김종인 전 국민의힘 비상대책위원장의 만남을 주선했다는 강용석 변호사의 주장에 “사실무근”이라고 부인...
                    ", 2021.11.25
50,정치,"민주화운동 손학규,전두환 빈소 찾아 ""국민통합으로 나아가길""",중앙일보 ,"
                        별세 사흘 째인 전두환 전 대통령의 빈소를 25일 손학규 전 바른미래당 대표가 찾았다. 손 전 대표는 1960~1980년대 민주화 운동에 투신했던 대표적 인물, 안그래도 정...
                    ", 2021.11.25
51,정치,"배우 박상아, 전두환 빈소서 포착..남편·두 딸과 조문객 맞아",중앙일보 ,"
                        탤런트 박상아(49)가 시아버지인 전두환(90) 전 대통령 장례식에서 포착됐다. 박씨는 전 전 대통령의 둘째 며느리다. 박씨는 장례식 3일째인 25일 서울 서대문구 신촌세...
                    ", 2021.11.25
52,정치,"김종인·임태희 빈자리가 더 눈에 띈 野 선대위..""尹 무한책임""",중앙일보 ,"
                        김종인 전 국민의힘 비상대책위원장의 이름은 없었다. 윤석열 국민의힘 대선 후보는 25일 김 전 위원장이 맡을 ‘원톱’ 총괄선대위원장직을 비워둔 채 중앙선대위 핵심...
                    ", 2021.11.25
53,정치,"문무일 전 검찰총장, 언론사 비상임감사 재취업 불승인",중앙일보 ,"
                        문무일 전 검찰총장(사진·60)이 서울신문 비상임감사로 취업하려다 '취업불승인' 판정을 받았다. 정부공직자윤리위원회(공직자윤리위)는 지난 19일 문 전 총장을 포함...
                    ", 2021.11.25
54,정치,"[속보] 文대통령, 김의철 청문보고서 내달 2일까지 송부 요청",중앙일보 ,"
                        문재인 대통령이 25일 김의철 한국방송공사 사장 후보자에 대한 인사청문 경과보고서를 다음달 2일까지 보내달라고 국회에 요청했다. 박경미 청와대 대변인은 이날 기자...
                    ", 2021.11.25
55,정치,"권성동 ""김종인 모시려 노력 중..왜 벌써 다른 사람 언급하나""",중앙일보 ,"
                        윤석열 국민의힘 대통령후보 측은 25일 김종인 전 비상대책위원장이 아닌 인물이 총괄선대위원장에 선임될 가능성에 대해 “왜 지금 그런 얘기가 나오나”라고 선을 긋...
                    ", 2021.11.25
56,정치,"태영호 ""文정부 무리한 종전선언, 철회해야..차기 정부에 부담""",중앙일보 ,"
                        북한 외교관 출신의 태영호 국민의힘 의원이 문재인 정부가 추진 중인 ‘종전선언’을 철회해야 한다고 주장했다. 미국과 북한을 모두 만족시키는 종전선언안은 불가능...
                    ", 2021.11.25
57,정치,"머리 검게 물들인 이재명, 젊은 두 전략가 내세웠다",중앙일보 ,"
                        이재명 더불어민주당 대선 후보의 당 쇄신 첫발은 측근과 전략통의 전진배치였다. 민주당은 25일 오전 신임 사무총장에 ‘이재명 직계’ 김영진 의원을, 전략기획위원장...
                    ", 2021.11.25
58,정치,"김총리 ""오징어게임 이어 지옥 1위..한국, 참 대단한 나라됐다""",중앙일보 ,"
                        김부겸 국무총리는 25일 “‘오징어게임’에 이어서 ‘지옥’이라는 또 다른 드라마가 다시 OTT서비스에서 세계 1위를 차지했다고 한다”며 “(한국이) 참 대단한 나라...
                    ", 2021.11.25
59,정치,"김종인 ""尹 최후통첩? 주접 떨어놨던데, 도울 생각 없다""",중앙일보 ,"
                        김종인 전 국민의힘 비상대책위원장이 선거대책위원회(선대위) 인선을 두고 갈등을 빚은 윤석열 대선 후보와 관련해 “밖에서 도울 의사가 없다”고 선을 그었다.    김...
                    ", 2021.11.25
60,정치,"文, 임기말 '차별금지법' 언급..""반드시 넘어서야 할 과제""",중앙일보 ,"
                        문재인 대통령은 25일 차별금지법과 관련 “인권선진국이 되기 위해서 반드시 넘어서야 할 과제”라고 말했다. 문 대통령은 이날 명동성당에서 열린 국가인권위원회 20...
                    ", 2021.11.25
61,정치,"라디오 대타 김제동 ""기본소득 헌법에 있다""→""경제민주화네""",중앙일보 ,"
                        최근 '대타' 진행자로 라디오 프로그램에 참여한 방송인 김제동씨가 연일 윤석열 국민의힘 후보 측 인사들과 입씨름을 벌이고 있다. 김씨는 전두환 전 대통령 별세에 대...
                    ", 2021.11.25
62,정치,"여군 만난 이재명 ""군 성폭력, 인권문제이자 아군에 의한 공격""",중앙일보 ,"
                        이재명 더불어민주당 대선 후보가 여군들을 만나 군대 내 성폭력을 반드시 근절해야 한다고 25일 밝혔다. 이 후보는 이날 서울 동작구의 한 문화공간에서 예비역 여성 ...
                    ", 2021.11.25
63,정치,"국민의힘 대변인 쓴소리 ""당 신선한 엔진이 꺼져가는 느낌""",중앙일보 ,"
                        국민의힘 대변인들이 선거대책위원회 구성과 김종인 전 비상대책위원장 영입 추진을 둘러싼 잡음에 대해 공개적인 비판에 나섰다. '이준석 체제' 첫 대변인단에 선발된 ...
                    ", 2021.11.25
64,정치,"文복심 윤건영도 '조국 털기론'..""잘못 있다면 책임져야""",중앙일보 ,"
                        더불어민주당 윤건영 의원이 25일 조국 전 법무부 장관 문제에 대해 “잘못이 있으면 당연히 책임지는 게 온당한 것”이라고 말했다. 문재인 대통령의 복심으로 통하는 ...
                    ", 2021.11.25
65,정치,"정청래 ""통행세·봉이김선달 과했다"" 불교계에 뒤늦은 사과",중앙일보 ,"
                        지난 국정감사에서 문화재 관람료를 ‘통행세’, 이를 거둬들이는 사찰을 ‘봉이 김선달’이라고 지칭했던 정청래 더불어민주당 의원이 결국 불교계에 사과를 건넸다. ...
                    ", 2021.11.25
66,정치,"민주당 ""주호영 2100만원, 나경원 3500만원..종부세 재검토는 셀프 절세""",중앙일보 ,"
                        25일 더불어민주당이 국민의힘 의원들의 종합부동산세액을 추정해 공개하며 윤석열 후보의 종부세 전면 재검토 공약을 ""셀프 절세""라고 비판했다. 민주당 선대위 현안대...
                    ", 2021.11.25
67,정치,"정부, 종전선언 올인하는데..北은 영변서 5㎿e 원자로 돌린다",중앙일보 ,"
                        정부가 미국을 상대로 종전선언 설득전을 벌이는 가운데 북한이 영변 핵시설에서 핵무기 제조와 관련된 5메가와트(㎿e) 원자로를 가동 중인 정황이 포착됐다. 미국의 북...
                    ", 2021.11.25
68,정치,이재명 32% 윤석열 35%..정권교체론 48% 안정론 39%[NBS],중앙일보 ,"
                        국민의힘 윤석열 대선 후보와 더불어민주당 이재명 후보의 지지율 격차가 오차범위 내인 3% 포인트 차이가 난 여론조사 결과가 25일 나왔다. 엠브레인·케이스탯·코리...
                    ", 2021.11.25
69,정치,"이준석 ""김종인 없이 해야 한다면 김병준 등 다른 총괄 세워야""",중앙일보 ,"
                        이준석 국민의힘 대표가 김종인 전 비상대책위원장이 합류하지 못할 경우 김병준 상임선대위원장을 포함한 다른 인사를 총괄선대위원장으로 세워야 한다며 ‘플랜B’ 가...
                    ", 2021.11.25
70,정치,尹선대위 김종인 비운채 출범..원희룡·주호영 등 본부장 6명,중앙일보 ,"
                        윤석열 국민의힘 대선 후보가 25일 선거대책위원회 총괄본부장급 인사를 단행했다. 결국 총괄선대위원장 자리는 김종인 전 비상대책위원장과 이견을 좁히지 못해 공석인...
                    ", 2021.11.25
71,정치,"김총리 ""저도 세 딸 아버지..여성·소수자, 폭력·차별·배제·화풀이 대상 안돼""",중앙일보 ,"
                        김부겸 국무총리는 25일 “저도 세 딸의 아버지다. 우리 여성들이 언제까지 이런 불안을 안고 살아야 하겠냐”며 “여성과 모든 소수자는 어떤 경우에도 폭력과 차별과 ...
                    ", 2021.11.25
72,정치,"15년전 조카 살인 변론까지..이재명 일주일째 ""사과합니다"" 왜",중앙일보 ,"
                        이재명 더불어민주당 대선 후보가 일주일 넘게 사과 러시에 나서 배경에 관심이 쏠린다. 최근 주목받은 건 24일 오후 조카 살인사건 변론에 대한 사과였다. 이 후보는 ...
                    ", 2021.11.25
73,정치,"이재명 아내, 대선후보보다 이틀 먼저 '호남행'",중앙일보 ,"
                        이재명 더불어민주당 대선후보의 부인 김혜경씨가 이 후보보다 앞서 호남 지역을 찾아 민심 잡기에 나섰다. 지난 대선 당시 문재인 대통령 부인 김정숙 여사가 '호남특...
                    ", 2021.11.25
