,category,title,press,content,period
0,정치,"민주당 '쇄신'의 목적지, 국민의힘 '밀당'의 종착지",한겨레 ,"
                        2021년 11월29일은 제20대 대선 D-100일이다. 이재명 더불어민주당 대선 후보와 선거대책위원회는 반성, 변화, 쇄신을 꾀하고 있다. 현재 구성 중인 윤석열 국민의힘 선...
                    ", 2021.11.26
1,정치,"김부겸 ""단계적 일상회복, 되돌리기 어려워""..거리두기 강화 신중론",한겨레 ,"
                        김부겸 국무총리가 26일 단계적 일상회복(위드 코로나) 시행 뒤 코로나19 확진자 수가 빠르게 증가하고 있지만 “되돌아가기 쉽지 않다”고 말했다. 감염 확산 방지를 ...
                    ", 2021.11.26
2,정치,"윤석열의 첫 100일, 남은 100일",한겨레 ,"
                        윤석열 국민의힘 대선 후보가 검찰총장직에서 물러난 게 지난 3월4일이다. 그로부터 100여일 뒤, 그는 잠행을 깨고 정치 행보에 돌입해, 6월 말 정치 참여를 공식적으로...
                    ", 2021.11.26
3,정치,"이재명, 조카 '교제살인' 유족에 사과..""데이트폭력 표현, 미숙했다""",한겨레 ,"
                        이재명 더불어민주당 대선 후보가 과거 조카가 저지른 ‘교제 살인’ 사건의 유가족에게 “다시 한 번 진심으로 사과드린다”고 밝혔다. 피해자 유족이 언론 인터뷰에서...
                    ", 2021.11.26
4,정치,"'김종인 없이' 시동 건 윤석열 선대위, 운전대는 김병준 몫?",한겨레 ,"
                        김병준 국민의힘 선거대책위원회 상임위원장이 26일 윤석열 후보와 면담한 뒤 “제가 가진 모든 걸 다 쏟아붓겠다”며 본격적인 활동을 시작했다. 윤 후보가 김종인 전 ...
                    ", 2021.11.26
5,정치,"이재명 ""호남 없으면 민주당 없다"" 3박4일 열띤 구애",한겨레 ,"
                        “호남이 없으면 민주당이 없습니다.” 이재명 더불어민주당 대선 후보가 26일 전남 목포시 동부시장에서 “호남의 희생과 헌신 덕에 이 나라의 민주주의가 튼튼하게 뿌...
                    ", 2021.11.26
6,정치,"국정원 1차장에 박선원, 2차장에 천세영",한겨레 ,"
                        문재인 대통령이 26일 국정원 1차장에 박선원 기획조정실장, 2차장에 천세영 대공수사국장, 기획조정실장에 노은채 국정원장 외교안보특별보좌관을 내정했다. 박선원 1...
                    ", 2021.11.26
7,정치,"'호남 구애' 나선 이재명 ""복수혈전에 미쳐있는 세력이 과거로 돌릴 것""",한겨레 ,"
                        [2022 대선] 이재명 더불어민주당 대선 후보가 호남 ‘매타버스(매주 타는 민생버스)’ 첫 일정으로 목포를 방문해 ‘호남의 개혁 정신을 실천하지 못했다’며 거듭 반...
                    ", 2021.11.26
8,정치,"윤석열 선대위 'KT 특혜채용' 혐의 김성태 중용..여 ""2030 도발""",한겨레 ,"
                        딸의 케이티(KT) 특혜 채용 뇌물 혐의로 재판 중인 김성태 전 의원이 국민의힘 선거대책위원회 직능총괄본부장으로 선임되자 ‘이런 게 윤석열의 공정이냐’라는 비판이...
                    ", 2021.11.26
9,정치,"'KT 특혜채용' 김성태 선대위 합류에 ""윤석열의 공정은 무엇이냐"" 비판",한겨레 ,"
                        [2022 대선] 윤석열 국민의힘 대선 후보가 딸의 케이티(KT) 특혜 채용 뇌물 혐의로 재판 중인 김성태 전 의원을 선거대책위원회 직능총괄본부장으로 선임하자 ‘윤 후보...
                    ", 2021.11.26
